normalized_title_key,title,sources,record_count,venues,dois
digital twins for rapid in situ qualification of part quality in laser powder bed fusion additive manufacturing,Digital Twins for Rapid In-Situ Qualification of Part Quality in Laser Powder Bed Fusion Additive Manufacturing,Crossref; OpenAlex,2,Venue unknown(1); Additive Manufacturing(1),10.2139/ssrn.4881754(1); 10.1016/j.addma.2024.104415(1)
enhanced volumetric additive manufacturing via reversible addition fragmentation chain transfer raft polymerization,Enhanced Volumetric Additive Manufacturing via Reversible Addition-Fragmentation Chain Transfer (RAFT) Polymerization,Crossref; OpenAlex,2,Nature Communications(1); Venue unknown(1),10.1038/s41467-026-73456-8(1); 10.26434/chemrxiv-2025-q9lgn(1)
environment aware path generation for robotic additive manufacturing of structures,Environment-Aware Path Generation for Robotic Additive Manufacturing of Structures,Crossref; OpenAlex,2,ArXiv.org(1); Venue unknown(1),10.2139/ssrn.6353098(1)
experimental validation of the ensemble kalman filter as a laser powder bed fusion digital twin,Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin,Crossref; OpenAlex,2,Additive Manufacturing(1); Venue unknown(1),10.1016/j.addma.2025.105054(1); 10.2139/ssrn.5405399(1)
exploring the impact of volumetric additive manufacturing of photo crosslinkable gelatin on mesenchymal stromal cell behavior and differentiation,Exploring the impact of volumetric additive manufacturing of photo-crosslinkable gelatin on mesenchymal stromal cell behavior and differentiation,Crossref; OpenAlex,2,Additive Manufacturing(1); Venue unknown(1),10.1016/j.addma.2025.104850(1); 10.1101/2025.02.17.638591(1)
hybrid epoxy acrylate resins for wavelength selective multimaterial 3d printing,Hybrid epoxy–acrylate resins for wavelength-selective multimaterial 3D printing,Crossref; OpenAlex,2,Nature Materials(1); Research Square(1),10.1038/s41563-025-02249-z(1); 10.21203/rs.3.rs-4237033/v1(1)
hybrid tools for tube bending processes using additive manufacturing and digital twin,Hybrid tools for tube bending processes using additive manufacturing and digital twin,Crossref; OpenAlex,2,Venue unknown(1); International Journal of Material Forming(1),10.21203/rs.3.rs-8040156/v1(1); 10.1007/s12289-026-02009-7(1)
in process density measurement for model based process optimization of functionally graded foam microcellular structures in material extrusion additive manufacturing,In-process density measurement for model-based process optimization of functionally graded foam microcellular structures in material extrusion additive manufacturing,Crossref; OpenAlex,2,Additive manufacturing(1); Venue unknown(1),10.1016/j.addma.2025.104817(1); 10.2139/ssrn.5086974(1)
investigating thermal strains and chemical shrinkage in tomographic volumetric additive manufacturing,Investigating thermal strains and chemical shrinkage in tomographic volumetric additive manufacturing,Crossref; OpenAlex,2,Additive Manufacturing(1); Venue unknown(1),10.1016/j.addma.2025.104781(1); 10.2139/ssrn.5027754(1)
laser based powder bed fusion additive manufacturing of thinner walls through re melting,Laser-based powder bed fusion additive manufacturing of thinner walls through re-melting,Crossref; OpenAlex,2,The International Journal of Advanced Manufacturing Technology(1); Venue unknown(1),10.1007/s00170-025-15976-z(1); 10.21203/rs.3.rs-6074274/v1(1)
mechanical anisotropy of 3d printed digital materials at large strains,Mechanical anisotropy of 3D-printed digital materials at large strains,Crossref; OpenAlex,2,Soft Matter(1); ArXiv.org(1),10.1039/d6sm00036c(1)
numerical modeling of tomographic volumetric additive manufacturing based on energy threshold method,Numerical modeling of tomographic volumetric additive manufacturing based on energy threshold method,Crossref; OpenAlex,2,Additive Manufacturing(1); Venue unknown(1),10.1016/j.addma.2024.104552(1); 10.2139/ssrn.4868307(1)
spatially programmable 4d printing of photoresponsive liquid crystal elastomers for adaptive energy dissipation,Spatially programmable 4D printing of photoresponsive liquid crystal elastomers for adaptive energy dissipation,Crossref; OpenAlex,2,Additive Manufacturing Frontiers(1); SSRN Electronic Journal(1),10.1016/j.amf.2026.200359(1); 10.2139/ssrn.5763134(1)
thermally elongated thermoplastic nozzles unlock micro scale multimaterial direct ink writing,Thermally Elongated Thermoplastic Nozzles Unlock Micro-Scale Multimaterial Direct Ink Writing,Crossref; OpenAlex,2,Research Square(1); npj Advanced Manufacturing(1),10.21203/rs.3.rs-8564809/v1(1); 10.1038/s44334-026-00092-x(1)
volumetric additive manufacturing of composites via hydrogel infusion,Volumetric Additive Manufacturing of Composites via Hydrogel Infusion,Crossref; OpenAlex,2,Venue unknown(1); ACS Materials Letters(1),10.26434/chemrxiv-2025-1twqq(1); 10.1021/acsmaterialslett.5c00407(1)
wave optical model for tomographic volumetric additive manufacturing,Wave optical model for tomographic volumetric additive manufacturing,Crossref; OpenAlex,2,Optics Express(1); arXiv (Cornell University)(1),10.1364/oe.521322(1); 10.48550/arxiv.2402.06283(1)
wavelength dependent 3d printing introducing 3d printed action plots,Wavelength‐Dependent 3D Printing: Introducing 3D Printed Action Plots,Crossref; OpenAlex,2,Advanced Materials(1); Repository KITopen (Karlsruhe Institute of Technology)(1),10.1002/adma.202523664(1); 10.5445/ir/1000192650(1)
lt b gt conceptualizing cognitive and agentic digital twins lt b gt,&lt;b&gt;Conceptualizing Cognitive and Agentic Digital Twins&lt;/b&gt;,Crossref; OpenAlex,1,International Multidisciplinary Journal of Emerging Technologies and Applications(1),10.67294/knpyhb26(1)
3d amp 4d printing in engineering applications,3D &amp; 4D Printing—In Engineering Applications,Crossref; OpenAlex,1,Materials(1),10.3390/ma19071307(1)
3d and 4d assembly of functional structures using shape morphing materials for biological applications,3D and 4D assembly of functional structures using shape-morphing materials for biological applications,Crossref; OpenAlex,1,Frontiers in Bioengineering and Biotechnology(1),10.3389/fbioe.2024.1347666(1)
3d and 4d printing for waste reduction and resource optimization,3D AND 4D PRINTING FOR WASTE REDUCTION AND RESOURCE OPTIMIZATION,Crossref; OpenAlex,1,Proceedings of International University Travnik(1),10.58952/zriut202502007a(1)
3d printing of functional materials and smart automation systems integrated technological pathways for modern oil gas chemical engineering,3D Printing of Functional Materials and Smart Automation Systems: Integrated Technological Pathways for Modern Oil–Gas–Chemical Engineering,Crossref; OpenAlex,1,"Advanced composite materials, biopolymers, and additive manufacturing for oil-gas-chemical engineering (English edition)(1)",10.62486/978-9915-704-06-7.ch05(1)
3d printing with a 3d printed digital material filament for programming functional gradients,3D printing with a 3D printed digital material filament for programming functional gradients,Crossref; OpenAlex,1,Nature Communications(1),10.1038/s41467-024-47480-5(1)
3d printed digital pneumatic logic for the control of soft robotic actuators,3D-printed digital pneumatic logic for the control of soft robotic actuators,Crossref; OpenAlex,1,Science Robotics(1),10.1126/scirobotics.adh4060(1)
3d printed multimaterial microfluidic transistors,3D-printed Multimaterial Microfluidic Transistors,Crossref; OpenAlex,1,Venue unknown(1),10.31224/4688(1)
3d printed smart reinforced beam for in process monitoring,3D-printed smart reinforced beam for in-process monitoring,Crossref; OpenAlex,1,"Nondestructive Characterization and Monitoring of Advanced Materials, Aerospace, Civil Infrastructure, and Transportation XX(1)",10.1117/12.3090427(1)
3d 4d printing,3D/4D Printing,Crossref; OpenAlex,1,Chem &amp; Bio Engineering(1),10.1021/cbe.5c00152(1)
4d printing of carbon fiber reinforced liquid crystal elastomers for self deployable solar panels,4D printing of carbon-fiber-reinforced liquid crystal elastomers for self-deployable solar panels,Crossref; OpenAlex,1,Materials Horizons(1),10.1039/d5mh00363f(1)
4d printing of fast responsive liquid crystalline elastomers for light driven actuators,4D printing of fast‐responsive liquid crystalline elastomers for light‐driven actuators,Crossref; OpenAlex,1,Responsive materials(1),10.1002/rpm2.70039(1)
4d printing of liquid crystal elastomer composites with continuous fiber reinforcement,4D printing of liquid crystal elastomer composites with continuous fiber reinforcement,Crossref; OpenAlex,1,Nature Communications(1),10.1038/s41467-024-52716-5(1)
4d printing of polymer dispersed liquid crystal elastomers toward tunable vibration isolation and cushioning properties,4D Printing of Polymer‐Dispersed Liquid Crystal Elastomers toward Tunable Vibration Isolation and Cushioning Properties,Crossref; OpenAlex,1,Advanced Materials Technologies(1),10.1002/admt.202500078(1)
4d printing of shape morphing liquid crystal elastomers,4D Printing of Shape-Morphing Liquid Crystal Elastomers,Crossref; OpenAlex,1,Chem & Bio Engineering(1),10.1021/cbe.4c00027(1)
4d printing of unaligned lce a facile approach to print photo mobile polymers,4D printing of unaligned LCE: a facile approach to print photo mobile polymers,Crossref; OpenAlex,1,Materials Advances(1),10.1039/d5ma01396h(1)
4d printing through vat photopolymerization of two stage uv curable liquid crystal elastomers,4D printing through vat photopolymerization of two-stage UV-curable liquid crystal elastomers,Crossref; OpenAlex,1,Nature Communications(1),10.1038/s41467-026-68370-y(1)
4d printing with liquid crystal elastomers materials methods and emerging applications,"4D Printing with Liquid Crystal Elastomers: Materials, Methods, and Emerging Applications",Crossref; OpenAlex,1,ChemPlusChem(1),10.1002/cplu.202500049(1)
4d printed fiber reinforced liquid crystal elastomer composites for multifunctional soft robots with self heating actuation,4D-Printed fiber-reinforced liquid crystal elastomer composites for multifunctional soft robots with self-heating actuation,Crossref; OpenAlex,1,Virtual and Physical Prototyping(1),10.1080/17452759.2025.2499927(1)
4d printed liquid crystal elastomers printing strategies actuation mechanisms and emerging applications,"4D-Printed Liquid Crystal Elastomers: Printing Strategies, Actuation Mechanisms, and Emerging Applications",Crossref; OpenAlex,1,Journal of Composites Science(1),10.3390/jcs9110633(1)
4d printed shape memory architectures for biomedical devices and morphing systems,4D-Printed Shape-Memory Architectures for Biomedical Devices and Morphing Systems,Crossref; OpenAlex,1,Smart Materials and Engineering Applications(1),10.64229/t20sy660(1)
scp 3d scp printing of lignin based polymeric composites obtained using liquid crystal display as a vat photopolymerization technique,<scp>3D</scp> printing of lignin‐based polymeric composites obtained using liquid crystal display as a vat photopolymerization technique,Crossref; OpenAlex,1,Polymer International(1),10.1002/pi.6783(1)
a closed loop machine learning and digital twin framework for the discovery of high performance solid state electrolytes,A Closed-Loop Machine Learning and Digital Twin Framework for the Discovery of High- Performance Solid-State Electrolytes,Crossref; OpenAlex,1,Research Square(1),10.21203/rs.3.rs-9345215/v1(1)
a comprehensive analysis of non planar toolpath optimization in multi axis 3d printing evaluating the efficiency of curved layer slicing strategies,A COMPREHENSIVE ANALYSIS OF NON-PLANAR TOOLPATH OPTIMIZATION IN MULTI-AXIS 3D PRINTING: EVALUATING THE EFFICIENCY OF CURVED LAYER SLICING STRATEGIES,Crossref; OpenAlex,1,Review of Applied Science and Technology(1),10.63125/5fdxa722(1)
a digital twin approach to adaptive control melt penetration for large scale structural components through two stage metal additive manufacturing,A Digital Twin Approach to Adaptive Control Melt-Penetration for Large-Scale Structural Components Through Two-stage Metal Additive Manufacturing,Crossref; OpenAlex,1,2025 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)(1),10.1109/ieem63636.2025.11357745(1)
a generalized printing process window for preventing surface overcuring in volumetric additive manufacturing,A generalized printing process window for preventing surface overcuring in volumetric additive manufacturing,Crossref; OpenAlex,1,International Journal of Bioprinting(1),10.36922/ijb026140128(1)
a hierarchical and ontology based taxonomy of stimuli smart materials transformation effects in 4d printing as a new interactive modality,A hierarchical and ontology-based taxonomy of stimuli–smart materials–transformation effects in 4D printing as a new interactive modality,Crossref; OpenAlex,1,Proceedings of DRS(1),10.21606/drs.2026.1046(1)
a lightweight embedded 3d printed soft robotic finger powered by sma artificial muscle,A lightweight embedded 3D-printed soft robotic finger powered by SMA artificial muscle,Crossref; OpenAlex,1,Results in Engineering(1),10.1016/j.rineng.2026.110883(1)
a meshing framework for digital twins for extrusion based additive manufacturing,A meshing framework for digital twins for extrusion based additive manufacturing,Crossref; OpenAlex,1,Additive Manufacturing(1),10.1016/j.addma.2026.105137(1)
a novel path planning approach for non planar robotic additive manufacturing to build and repair the parts of cylindrical geometry,A Novel Path Planning Approach for Non-planar Robotic Additive Manufacturing to Build and Repair the Parts of Cylindrical Geometry.,Crossref; OpenAlex,1,Research Square(1),10.21203/rs.3.rs-3999221/v1(1)
a review of stimuli responsive materials in 4d bioprinting for biomedical applications,A review of stimuli-responsive materials in 4D bioprinting for biomedical applications,Crossref; OpenAlex,1,Materials Advances(1),10.1039/d5ma00679a(1)
a self driving lab for solution processed electrochromic thin films,A Self‐Driving Lab for Solution‐Processed Electrochromic Thin Films,Crossref; OpenAlex,1,Advanced Intelligent Systems(1),10.1002/aisy.202600008(1)
a thermally expandable resin for the volumetric additive manufacturing of shape memory functional foams,A Thermally Expandable Resin for the Volumetric Additive Manufacturing of Shape‐Memory Functional Foams,Crossref; OpenAlex,1,Advanced Materials Technologies(1),10.1002/admt.202501355(1)
accelerating fused filament fabrication fff optimization with ai powered digital twins and high fidelity simulations,Accelerating fused filament fabrication FFF optimization with AI-Powered digital twins and High-Fidelity simulations,Crossref; OpenAlex,1,The International Journal of Advanced Manufacturing Technology(1),10.1007/s00170-025-17219-7(1)
acoustics in additive manufacturing a path toward contactless scalable and high precision manufacturing,"Acoustics in additive manufacturing: A path toward contactless, scalable, and high-precision manufacturing",Crossref; OpenAlex,1,Applied Physics Reviews(1),10.1063/5.0271688(1)
adaptive slicing algorithm and path planning for additive manufacturing of aerospace parts,Adaptive Slicing Algorithm and Path Planning for Additive Manufacturing of Aerospace Parts,Crossref; OpenAlex,1,Applied and Computational Engineering(1),10.54254/2755-2721/2025.gl27145(1)
additive manufacturing of conventional military equipment implications for arms control and security,Additive Manufacturing of Conventional Military Equipment: Implications for Arms Control and Security,Crossref; OpenAlex,1,Venue unknown(1),10.37559/cwp/26/erc/06(1)
additive manufacturing of functionally graded materials advances challenges and strategies for processing and performance optimization,"Additive manufacturing of functionally graded materials: Advances, challenges, and strategies for processing and performance optimization",Crossref; OpenAlex,1,Next Materials(1),10.1016/j.nxmate.2026.102285(1)
additive manufacturing of multi material and hollow structures by embedded extrusion volumetric printing,Additive manufacturing of multi-material and hollow structures by Embedded Extrusion-Volumetric Printing,Crossref; OpenAlex,1,Nature Communications(1),10.1038/s41467-025-62057-6(1)
additive manufacturing of multi material structures,Additive Manufacturing of Multi-Material Structures,Crossref; OpenAlex,1,Additive manufacturing(1),10.1201/9781003343868-12(1)
additive manufacturing with graded bio polymer composites,Additive Manufacturing with Graded Bio-Polymer Composites,Crossref; OpenAlex,1,"ROB|ARCH2024 – Robotic Fabrication in Architecture, Art and Design(1)",10.1007/978-3-032-22607-5_5(1)
advanced bioprinting for the future,Advanced Bioprinting for the Future,Crossref; OpenAlex,1,3D Bioprinting from Lab to Industry(1),10.1002/9781119894407.ch14(1)
advanced digital design and intelligent manufacturing,Advanced Digital Design and Intelligent Manufacturing,Crossref; OpenAlex,1,Venue unknown(1),10.3390/books978-3-7258-7808-6(1)
advancements and challenges in additively manufactured functionally graded materials a comprehensive review,Advancements and Challenges in Additively Manufactured Functionally Graded Materials: A Comprehensive Review,Crossref; OpenAlex,1,Journal of Manufacturing and Materials Processing(1),10.3390/jmmp8010023(1)
advances in additive manufacturing of polymer fused deposition modeling on textiles from 3d printing to innovative 4d printing a review,Advances in Additive Manufacturing of Polymer-Fused Deposition Modeling on Textiles: From 3D Printing to Innovative 4D Printing—A Review,Crossref; OpenAlex,1,Polymers(1),10.3390/polym16050700(1)
advances in materials and technologies for digital light processing 3d printing,Advances in materials and technologies for digital light processing 3D printing,Crossref; OpenAlex,1,Nano Convergence(1),10.1186/s40580-024-00452-3(1)
advances in multi material polymer 3d printing depositions techniques materials combinations challenges and emerging applications,"Advances in multi-material polymer 3D printing depositions: techniques, materials combinations, challenges, and emerging applications",Crossref; OpenAlex,1,Frontiers in Mechanical Engineering(1),10.3389/fmech.2026.1802237(1)
ai assisted curvature aware post slicing g code optimization for material efficient fdm printing,"AI-assisted, curvature-aware post-slicing G-code optimization for material-efficient FDM printing",Crossref; OpenAlex,1,Journal of King Saud University - Engineering Sciences(1),10.1007/s44444-026-00109-y(1)
ai driven digital twin framework for real time optimization of smart manufacturing systems in industry 5 0,AI-Driven Digital Twin Framework for Real-Time Optimization of Smart Manufacturing Systems in Industry 5.0,Crossref; OpenAlex,1,Journal of Mechanical Civil and Industrial Engineering(1),10.32996/jmcie.2026.7.4.1(1)
an integrated review of mechanical property modelling from microstructure based theories to additive manufacturing and cae,An Integrated Review of Mechanical Property Modelling from Microstructure-Based Theories to Additive Manufacturing and CAE,Crossref; OpenAlex,1,Metal Additive Manufacturing(1),10.1201/9781003731559-20(1)
an inverse rendering framework for tomographic volumetric additive manufacturing,An inverse rendering framework for tomographic volumetric additive manufacturing,Crossref; OpenAlex,1,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII(1),10.1117/12.3042194(1)
artificial intelligence and digital twins in smart real estate asset management a framework for sustainable urban development,Artificial Intelligence and Digital Twins in Smart Real Estate Asset Management: A Framework for Sustainable Urban Development,Crossref; OpenAlex,1,American Journal of Data Science and Analytics(1),10.63125/3gq6b691(1)
artificial intelligence and machine learning in cold spray additive manufacturing a systematic literature review,Artificial Intelligence and Machine Learning in Cold Spray Additive Manufacturing: A Systematic Literature Review,Crossref; OpenAlex,1,Journal of Manufacturing and Materials Processing(1),10.3390/jmmp9100334(1)
automation enabled engineering futures linking oil and gas innovation with renewable biopolymer feedstocks for additive manufacturing,Automation-Enabled Engineering Futures: Linking Oil-and-Gas Innovation with Renewable Biopolymer Feedstocks for Additive Manufacturing,Crossref; OpenAlex,1,"Advanced composite materials, biopolymers, and additive manufacturing for oil-gas-chemical engineering (English edition)(1)",10.62486/978-9915-704-06-7.ch04(1)
autonomous materials discovery through a tabula rasa active learning framework,Autonomous materials discovery through a tabula rasa active learning framework,Crossref; OpenAlex,1,Research Square(1),10.21203/rs.3.rs-9750606/v1(1)
bio inspired 4d printed niti alloy metamaterials with dynamically tunable stiffness for intelligent impact protection,Bio-inspired 4D-printed NiTi alloy metamaterials with dynamically tunable stiffness for intelligent impact protection,Crossref; OpenAlex,1,Engineering Structures(1),10.1016/j.engstruct.2026.123121(1)
bridging model based systems engineering digital twins and cyber physical manufacturing systems a foundational framework for operational excellence,"Bridging Model-Based Systems Engineering, Digital Twins, and Cyber-Physical Manufacturing Systems: A Foundational Framework for Operational Excellence",Crossref; OpenAlex,1,International Multidisciplinary Journal of Emerging Technologies and Applications(1),10.67294/w1jdxb80(1)
brief paper evaluating effects of ultraviolet exposure strategies on multi material interfaces in direct ink write additive manufacturing,Brief Paper: Evaluating Effects of Ultraviolet Exposure Strategies on Multi-Material Interfaces in Direct Ink Write Additive Manufacturing,Crossref; OpenAlex,1,Volume 1: Additive Manufacturing; Advanced Materials Manufacturing; Biomanufacturing; Life Cycle Engineering(1),10.1115/msec2024-125262(1)
build processes for functionally graded materials via direct ink write additive manufacturing,Build processes for functionally-graded materials via direct-ink write additive manufacturing,Crossref; OpenAlex,1,Progress in Additive Manufacturing(1),10.1007/s40964-026-01667-y(1)
build processes for functionally graded materials via direct write additive manufacturing,Build Processes for Functionally-Graded Materials via Direct-Write Additive Manufacturing,Crossref; OpenAlex,1,Research Square(1),10.21203/rs.3.rs-7830129/v1(1)
building audio visual digital twins with smartphones,Building Audio-Visual Digital Twins with Smartphones,Crossref; OpenAlex,1,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services(1)",10.1145/3745756.3809241(1)
building with volumetric additive manufacturing,Building with volumetric additive manufacturing,Crossref; OpenAlex,1,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII(1),10.1117/12.3042390(1)
carbon fiber reinforced liquid crystalline elastomer composites a dual exploration in strength augmentation and transformation flexibility through 4d printing,Carbon fiber reinforced liquid crystalline elastomer composites: a dual exploration in strength augmentation and transformation flexibility through 4D printing,Crossref; OpenAlex,1,International Journal of Smart and Nano Materials(1),10.1080/19475411.2024.2332645(1)
case studies examples and highlights,"Case Studies, Examples, and Highlights",Crossref; OpenAlex,1,"Material Selection, Product Design and Additive Manufacturing Processes for Operational Sustainability(1)",10.1201/9781003633754-6(1)
causal and uncertainty aware digital twin framework for ultra low noise geoscientific inertial sensors,Causal and uncertainty-aware digital-twin framework for ultra–low-noise geoscientific inertial sensors,Crossref; OpenAlex,1,Venue unknown(1),10.5194/egusphere-2026-628(1)
chemical and mechanical evolution of a volumetric additive manufacturing vam resin under high temperature storage,Chemical and Mechanical Evolution of a Volumetric Additive Manufacturing (VAM) Resin Under High-Temperature Storage,Crossref; OpenAlex,1,Polymers(1),10.3390/polym18101213(1)
cold spray repair of corroded steel bridge girders via an optimization driven cyber physical workflow and robotic deposition architecture,Cold-Spray Repair of Corroded Steel Bridge Girders via an Optimization-Driven Cyber-Physical Workflow and Robotic Deposition Architecture,Crossref; OpenAlex,1,Venue unknown(1),10.31224/6400(1)
composite strengthening via stress concentration regions softening the proof of concept with schwarzites and schwarzynes inspired multi material additive manufacturing,Composite strengthening via stress-concentration regions softening: The proof of concept with Schwarzites and Schwarzynes inspired multi-material additive manufacturing,Crossref; OpenAlex,1,Additive manufacturing(1),10.1016/j.addma.2024.104336(1)
computed tomography based volumetric additive manufacturing development of a model based on resin properties and part size interrelationship part i,Computed Tomography-Based Volumetric Additive Manufacturing: Development of a Model Based on Resin Properties and Part Size Interrelationship—Part I,Crossref; OpenAlex,1,Journal of Manufacturing and Materials Processing(1),10.3390/jmmp9060178(1)
computed tomography driven design and fused filament fabrication of graded density bone scaffolds,Computed Tomography-Driven Design and Fused Filament Fabrication of Graded Density Bone Scaffolds,Crossref; OpenAlex,1,Applied Sciences(1),10.3390/app15126434(1)
correction to volumetric additive manufacturing of dicyclopentadiene by solid state photopolymerization,Correction to “Volumetric Additive Manufacturing of Dicyclopentadiene by Solid‐State Photopolymerization”,Crossref; OpenAlex,1,Advanced Science(1),10.1002/advs.75656(1)
cost reliability trade offs in additive manufacturing maintenance a digital twin kaplan meier and monte carlo approach,"Cost–Reliability Trade-offs in Additive Manufacturing Maintenance: A Digital Twin, Kaplan–Meier, and Monte Carlo Approach",Crossref; OpenAlex,1,Research Square(1),10.21203/rs.3.rs-7699256/v1(1)
cultural heritage conservation in digital era a review of digital twin and 3d printing applications,CULTURAL HERITAGE CONSERVATION IN DIGITAL ERA: A REVIEW OF DIGITAL TWIN AND 3D PRINTING APPLICATIONS,Crossref; OpenAlex,1,Uludağ University Journal of The Faculty of Engineering(1),10.17482/uumfd.1604638(1)
current 3d printing and developed 4d printing technologies in dentistry,Current 3D Printing and Developed 4D Printing Technologies in Dentistry,Crossref; OpenAlex,1,Northern Journal of Health Sciences(1),10.71340/njhs.1941302(1)
cyclodextrins in 3d 4d printing for biomedical applications,Cyclodextrins in 3D/4D printing for biomedical applications,Crossref; OpenAlex,1,Additive manufacturing(1),10.1016/j.addma.2024.104120(1)
d2m design to manufacturing by integrating digital twins and large language models conceptual framework,D2M (design-to-manufacturing) by integrating digital twins and large language models: conceptual framework,Crossref; OpenAlex,1,Digital Twin(1),10.1080/27525783.2026.2645373(1)
deep learning for materials and additive manufacturing towards ai enabled closed loop systems,Deep Learning for Materials and Additive Manufacturing: Towards AI-Enabled Closed-Loop Systems,Crossref; OpenAlex,1,ChemRxiv(1),10.26434/chemrxiv.15000912/v1(1)
design and development of fin ray finger using topology optimization with multiple load cases,Design and Development of Fin-Ray Finger using Topology Optimization with Multiple Load Cases,Crossref; OpenAlex,1,2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS)(1),10.1109/icc-robins60238.2024.10534011(1)
design and development of portable abs filament extruder for desktop fdm applications,Design and Development of Portable ABS Filament Extruder for Desktop FDM Applications,Crossref; OpenAlex,1,Venue unknown(1),10.31224/6258(1)
design and experimental validation of a 3d printed hybrid soft robotic gripper for delicate object manipulation,Design and Experimental Validation of a 3D-Printed Hybrid Soft Robotic Gripper for Delicate Object Manipulation,Crossref; OpenAlex,1,Electronics(1),10.3390/electronics15040848(1)
design for disassembly using a multi material approach in 3d printing for easier recycling strategies,Design for disassembly: Using a multi-material approach in 3D printing for easier recycling strategies,Crossref; OpenAlex,1,Additive manufacturing(1),10.1016/j.addma.2024.104394(1)
design of a soft robotic finger inspired by the fin ray effect with anthropomorphic features,Design of a Soft Robotic Finger Inspired by the Fin Ray Effect with Anthropomorphic Features,Crossref; OpenAlex,1,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS)(1),10.1109/cbs65871.2025.11267540(1)
design optimization of a variable stiffness robotic gripper with passive restoration fabricated by multimaterial 3d printing,Design Optimization of a Variable Stiffness Robotic Gripper with Passive Restoration Fabricated by Multimaterial 3D Printing,Crossref; OpenAlex,1,Advanced Robotics Research(1),10.1002/adrr.202500054(1)
designing a layered learning infrastructure with a digital twin component,Designing a Layered Learning Infrastructure with a Digital Twin Component,Crossref; OpenAlex,1,39th Bled eConference: Co-Creating Human-Centred and Responsible Digital Futures; Conference Proceedings(1),10.18690/um.fov.4.2026.5(1)
development of a compact multi material vat photopolymerization printing solution,Development of a compact multi-material vat photopolymerization printing solution,Crossref; OpenAlex,1,Materials Science in Additive Manufacturing(1),10.36922/msam025510122(1)
