classification,venue,source_union,record_count,unique_paper_keys,curated_records,archive_records
both_openalex_crossref,Venue unknown,Crossref; OpenAlex,227,227,50,177
both_openalex_crossref,IEEE Access,Crossref; OpenAlex,4,4,1,3
both_openalex_crossref,International Journal of Bioprinting,Crossref; OpenAlex,4,4,4,0
both_openalex_crossref,International Journal of Precision Engineering and Manufacturing-Green Technology,Crossref; OpenAlex,4,4,2,2
both_openalex_crossref,Journal of Functional Biomaterials,Crossref; OpenAlex,4,4,4,0
both_openalex_crossref,Macromolecular Rapid Communications,Crossref; OpenAlex,4,4,1,3
both_openalex_crossref,Materials Horizons,Crossref; OpenAlex,4,4,3,1
both_openalex_crossref,Next Materials,Crossref; OpenAlex,4,4,2,2
both_openalex_crossref,npj Computational Materials,Crossref; OpenAlex,4,4,0,4
both_openalex_crossref,Advanced Robotics Research,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,Automation in Construction,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,Biofabrication,Crossref; OpenAlex,3,3,0,3
both_openalex_crossref,Designs,Crossref; OpenAlex,3,3,1,2
both_openalex_crossref,Engineering Science in Additive Manufacturing,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,IEEE Robotics and Automation Letters,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,Information,Crossref; OpenAlex,3,3,1,2
both_openalex_crossref,International Journal of Mechanical Sciences,Crossref; OpenAlex,3,3,0,3
both_openalex_crossref,International Journal on Interactive Design and Manufacturing (IJIDeM),Crossref; OpenAlex,3,3,1,2
both_openalex_crossref,Journal of Manufacturing Science and Engineering,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,Journal of Thermoplastic Composite Materials,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,Laser 3D Manufacturing XIII,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,Metal Additive Manufacturing,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,Nano Research,Crossref; OpenAlex,3,3,2,1
both_openalex_crossref,Polymer Chemistry,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,Science Robotics,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,Small Methods,Crossref; OpenAlex,3,3,3,0
both_openalex_crossref,steel research international,Crossref; OpenAlex,3,3,0,3
both_openalex_crossref,Structural and Multidisciplinary Optimization,Crossref; OpenAlex,3,3,0,3
both_openalex_crossref,Systems,Crossref; OpenAlex,3,3,1,2
both_openalex_crossref,Technologies,Crossref; OpenAlex,3,3,1,2
both_openalex_crossref,"Advanced composite materials, biopolymers, and additive manufacturing for oil-gas-chemical engineering (English edition)",Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Advanced Energy Materials,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XIX,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Advances in Computational Science and Engineering,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Advances in Manufacturing,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Aerospace,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,Applied Physics Reviews,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Bioprinting,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Chemical Reviews,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,Chinese Journal of Polymer Science,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,CIRP Annals,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Discover Sustainability,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Engineering and Technology Journal,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,Engineering Structures,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Food Research International,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Functional Hydrogels,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Heliyon,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,IET Collaborative Intelligent Manufacturing,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Industrial engineering and management.,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Informatica,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,International Journal of Advanced Computer Science and Applications,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,International Journal of Material Forming,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,International Multidisciplinary Journal of Emerging Technologies and Applications,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,iScience,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Journal of Advanced Ceramics,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Journal of Advanced Manufacturing Systems,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Journal of Computing and Information Science in Engineering,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Journal of Intelligent Manufacturing and Special Equipment,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,Journal of Intelligent Material Systems and Structures,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Journal of Materials Chemistry B,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Journal of Pharmaceutical Innovation,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,Journal of the Brazilian Society of Mechanical Sciences and Engineering,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Key engineering materials,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,"Material Selection, Product Design and Additive Manufacturing Processes for Operational Sustainability",Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Matter,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,MRS Communications,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Polymer Composites,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Proceedings of DRS,Crossref; OpenAlex,2,2,2,0
both_openalex_crossref,Responsive materials,Crossref; OpenAlex,2,2,1,1
both_openalex_crossref,Transforming Manufacturing With STEP-NC,Crossref; OpenAlex,2,2,0,2
both_openalex_crossref,2019 ASEE Midwest Section Conference Proceedings,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,2025 15th France-Japan &amp;amp; 13th Europe-Asia Congress on Mechatronics (MECATRONICS) / 23rd International Conference on Research and Education in Mechatronics (REM),Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,2025 Conference on Lasers and Electro-Optics Europe &amp;amp; European Quantum Electronics Conference (CLEO/Europe-EQEC),Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS),Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,2025 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,2025 MicroTAS Book of Abstracts,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,"2026 6th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,39th Bled eConference: Co-Creating Human-Centred and Responsible Digital Futures; Conference Proceedings,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,3D Bioprinting from Lab to Industry,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,"3D Bioprinting: Advances, Challenges, and Fabricating the future",Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,ACS Biomaterials Science &amp; Engineering,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,ACS Materials Letters,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,American Journal of Data Science and Analytics,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,ASRC Procedia: Global Perspectives in Science and Scholarship,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,British Journal of Multidisciplinary Studies,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Chem &amp; Bio Engineering,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,ChemPlusChem,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Computational design and robotic fabrication,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Computational Optics 2026,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,"Computers, Materials &amp; Continua",Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Elsevier eBooks,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Emerging Digital Micromirror Device Based Systems and Applications XVII,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Engineering With Computers,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Functional Composites and Structures,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Herald of Khmelnytskyi National University. Technical sciences,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,IIP Series,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,International Academic Conference on Places and Technologies,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,"International Conference on Mechanical, Engineering, and Interaction Design (ICMEID 2025)",Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,International Journal of Computer Science and Information Technology,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,International Journal of Smart and Nano Materials,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,International Journal of Technical Research Studies (IJTRS),Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,International Research Journal of Modernization in Engineering Technology &amp; Science,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Journal of Advanced Manufacturing and Processing,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Journal of Advanced Simulation in Science and Engineering,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Journal of Dynamics and Control,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Journal of King Saud University - Engineering Sciences,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Journal of Mechanical Civil and Industrial Engineering,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Journal of Nanomaterials and Applications,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Lasers and Photonics for Advanced Manufacturing II,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Light: Advanced Manufacturing,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Mechanics and Advanced Technologies,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Multidiszciplináris Tudományok,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Multifunctional Materials and Structures II,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Nano Convergence,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Nanotechnology Reviews,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Navigating an Evolving Sustainable Built Environment,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,"Nondestructive Characterization and Monitoring of Advanced Materials, Aerospace, Civil Infrastructure, and Transportation XX",Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Northern Journal of Health Sciences,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Pharmaceutics,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Polymer International,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Proceedings of International University Travnik,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,"Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services",Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Review of Applied Science and Technology,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Smart Materials and Engineering Applications,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Textiles,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,The 15th EASN International Conference on &amp;ldquo;Innovation in Aviation &amp;amp; Space Towards Sustainability Today &amp;amp; Tomorrow&amp;rdquo;,Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,The 19th Global Congress on Manufacturing and Management (GCMM 2025),Crossref; OpenAlex,1,1,0,1
both_openalex_crossref,Third International Conference on Intelligent Transportation and Smart Cities (ICITSC 2026),Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Uludağ University Journal of The Faculty of Engineering,Crossref; OpenAlex,1,1,1,0
both_openalex_crossref,Vth International Conference on Simulation for Additive Manufacturing,Crossref; OpenAlex,1,1,1,0
crossref_only,Multi-material Additive Manufacturing,Crossref,14,14,0,14
crossref_only,Manufacturing Letters,Crossref,13,13,2,11
crossref_only,Procedia CIRP,Crossref,13,13,4,9
crossref_only,4D Printing of Composites,Crossref,11,11,0,11
crossref_only,Materials &amp; Design,Crossref,11,11,1,10
crossref_only,Generation and Update of a Digital Twin in a Process Plant,Crossref,10,10,0,10
crossref_only,Vat Photopolymerization Additive Manufacturing,Crossref,10,10,9,1
crossref_only,4D Printing in Healthcare,Crossref,9,9,0,9
crossref_only,Computational Design and Robotic Fabrication,Crossref,9,9,9,0
crossref_only,International Journal of Computer Integrated Manufacturing,Crossref,9,9,2,7
crossref_only,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,Crossref,9,9,9,0
crossref_only,"Smart Materials in Additive Manufacturing, Volume 3",Crossref,7,7,1,6
crossref_only,SpringerBriefs in Energy,Crossref,7,7,0,7
crossref_only,Artificial Intelligence‐Enabled Digital Twin for Smart Manufacturing,Crossref,6,6,6,0
crossref_only,Digital Twin and Blockchain for Sensor Networks in Smart Cities,Crossref,6,6,0,6
crossref_only,Driving Innovation through AI and Digital Twin for 6G Powered Sustainable Ultra Smart Cities,Crossref,6,6,0,6
crossref_only,Lecture Notes in Mechanical Engineering,Crossref,6,6,0,6
crossref_only,Materials Research Proceedings,Crossref,6,6,1,5
crossref_only,AIP Conference Proceedings,Crossref,5,5,0,5
crossref_only,Blockchain and Digital Twin for Smart Hospitals,Crossref,5,5,0,5
crossref_only,Ceramics International,Crossref,5,5,3,2
crossref_only,CIRP Journal of Manufacturing Science and Technology,Crossref,5,5,0,5
crossref_only,Digital Twin and Blockchain for Smart Cities,Crossref,5,5,0,5
crossref_only,Human-Centric Smart Manufacturing Towards Industry 5.0,Crossref,5,5,1,4
crossref_only,Proceedings of the 2025 International Conference on Artificial Intelligence and Smart Manufacturing,Crossref,5,5,0,5
crossref_only,Composites Part B: Engineering,Crossref,4,4,0,4
crossref_only,Digital Twins in Industrial Production and Smart Manufacturing,Crossref,4,4,0,4
crossref_only,Journal of Materials Engineering and Performance,Crossref,4,4,0,4
crossref_only,Journal of Mechanical Engineering,Crossref,4,4,0,4
crossref_only,Optics Express,Crossref,4,4,4,0
crossref_only,Polymer,Crossref,4,4,1,3
crossref_only,Volume 2: Advanced Manufacturing,Crossref,4,4,2,2
crossref_only,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),Crossref,3,3,0,3
crossref_only,3D Printing Technologies,Crossref,3,3,0,3
crossref_only,4D Printing of Foods,Crossref,3,3,0,3
crossref_only,Advances in 3D and 4D Printing of Medical Robots and Devices,Crossref,3,3,0,3
crossref_only,Blockchain and Digital Twin Applications in Smart Agriculture,Crossref,3,3,0,3
crossref_only,Blockchain and Digital Twin for Smart Healthcare,Crossref,3,3,0,3
crossref_only,Comprehensive Materials Processing,Crossref,3,3,0,3
crossref_only,Materials Science and Engineering: A,Crossref,3,3,1,2
crossref_only,Materials Today: Proceedings,Crossref,3,3,0,3
crossref_only,Research,Crossref,3,3,0,3
crossref_only,Responsive Materials,Crossref,3,3,0,3
crossref_only,2024 Winter Simulation Conference (WSC),Crossref,2,2,0,2
crossref_only,2026 IEEE 9th International Conference on Soft Robotics (RoboSoft),Crossref,2,2,1,1
crossref_only,3D Printing and Digital Twins in Smart Agriculture,Crossref,2,2,1,1
crossref_only,ACS Applied Materials &amp; Interfaces,Crossref,2,2,1,1
crossref_only,Advanced Materials &amp; Sustainable Manufacturing,Crossref,2,2,0,2
crossref_only,Advances in Computational Intelligence and Robotics,Crossref,2,2,0,2
crossref_only,Advances in Engineering Software,Crossref,2,2,0,2
crossref_only,AIJR Proceedings,Crossref,2,2,1,1
crossref_only,Angewandte Chemie,Crossref,2,2,0,2
crossref_only,Angewandte Chemie International Edition,Crossref,2,2,0,2
crossref_only,Composite Structures,Crossref,2,2,1,1
crossref_only,Composites Part C: Open Access,Crossref,2,2,1,1
crossref_only,Computers,Crossref,2,2,1,1
crossref_only,Cyber Physical System 2.0,Crossref,2,2,0,2
crossref_only,Digital Twin Applications and Cognitive Enterprise Transformation Across Industries,Crossref,2,2,0,2
crossref_only,Digital Twinning for Discrete Manufacturing,Crossref,2,2,0,2
crossref_only,eCAADe proceedings,Crossref,2,2,1,1
crossref_only,Emerging Trends in Manufacturing Technologies,Crossref,2,2,0,2
crossref_only,Engineering Materials,Crossref,2,2,0,2
crossref_only,Expert Opinion on Drug Delivery,Crossref,2,2,0,2
crossref_only,Expert Systems with Applications,Crossref,2,2,0,2
crossref_only,Handbook of Liquid Metals,Crossref,2,2,0,2
crossref_only,IEEE Transactions on Automation Science and Engineering,Crossref,2,2,0,2
crossref_only,IET Conference Proceedings,Crossref,2,2,0,2
crossref_only,IFAC-PapersOnLine,Crossref,2,2,0,2
crossref_only,Industrial Engineering and Management,Crossref,2,2,0,2
crossref_only,"Industry 4.0, Smart Manufacturing, and Industrial Engineering",Crossref,2,2,2,0
crossref_only,Innovative Food Science &amp; Emerging Technologies,Crossref,2,2,1,1
crossref_only,Intelligent Manufacturing and Industry 4.0,Crossref,2,2,0,2
crossref_only,International Journal of 3D Printing Technologies and Digital Industry,Crossref,2,2,2,0
crossref_only,International Journal of Biological Macromolecules,Crossref,2,2,1,1
crossref_only,JMST Advances,Crossref,2,2,2,0
crossref_only,Journal of Advanced Joining Processes,Crossref,2,2,0,2
crossref_only,Journal of Alloys and Compounds,Crossref,2,2,0,2
crossref_only,Journal of Engineering Design,Crossref,2,2,0,2
crossref_only,Journal of Materials Processing Technology,Crossref,2,2,0,2
crossref_only,Journal of the American Ceramic Society,Crossref,2,2,0,2
crossref_only,Laser 3D Manufacturing XI,Crossref,2,2,1,1
crossref_only,Laser 3D Manufacturing XII,Crossref,2,2,1,1
crossref_only,Manufacturing Review,Crossref,2,2,0,2
crossref_only,Materials and Manufacturing Processes,Crossref,2,2,1,1
crossref_only,Materials Science and Engineering: R: Reports,Crossref,2,2,0,2
crossref_only,Nanotechnology Perceptions,Crossref,2,2,0,2
crossref_only,Procedia Computer Science,Crossref,2,2,1,1
crossref_only,Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,Crossref,2,2,1,1
crossref_only,Proceedings of the International Conference on Industrial Engineering and Operations Management,Crossref,2,2,0,2
crossref_only,Science and Technology of Welding and Joining,Crossref,2,2,0,2
crossref_only,Springer Tracts in Additive Manufacturing,Crossref,2,2,0,2
crossref_only,The International Conference on Computational &amp; Experimental Engineering and Sciences,Crossref,2,2,0,2
crossref_only,The Project Repository Journal,Crossref,2,2,0,2
crossref_only,Volume 3: Advances in Thermal Technologies; Advances in Semiconductor Manufacturing; Clean Energy Technologies &amp; Systems; Cyber Physical Systems + AI / ML,Crossref,2,2,0,2
crossref_only,"1st International Conference on Industrial, Manufacturing, and Process Engineering (ICIMP-2024)",Crossref,1,1,0,1
crossref_only,"2024 24th International Conference on Control, Automation and Systems (ICCAS)",Crossref,1,1,0,1
crossref_only,2024 25th International Conference on Electronic Packaging Technology (ICEPT),Crossref,1,1,0,1
crossref_only,2024 29th International Conference on Automation and Computing (ICAC),Crossref,1,1,0,1
crossref_only,2024 35th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),Crossref,1,1,0,1
crossref_only,2024 4th International Multidisciplinary Information Technology and Engineering Conference (IMITEC),Crossref,1,1,0,1
crossref_only,2024 4th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),Crossref,1,1,0,1
crossref_only,"2024 7th International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)",Crossref,1,1,0,1
crossref_only,"2024 8th International Conference on Electrical, Mechanical and Computer Engineering (ICEMCE)",Crossref,1,1,0,1
crossref_only,2024 Advances in Science and Engineering Technology International Conferences (ASET),Crossref,1,1,1,0
crossref_only,"2024 AM Cross JOWOG - Albuquerque, New Mexico, United States of America - February - 2024",Crossref,1,1,0,1
crossref_only,2024 IEEE 22nd International Conference on Industrial Informatics (INDIN),Crossref,1,1,0,1
crossref_only,"2024 IEEE 23rd International Conference on Micro and Miniature Power Systems, Self-Powered Sensors and Energy Autonomous Devices (PowerMEMS)",Crossref,1,1,0,1
crossref_only,2024 IEEE 7th International Conference on Soft Robotics (RoboSoft),Crossref,1,1,1,0
crossref_only,2024 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),Crossref,1,1,1,0
crossref_only,2024 IEEE International Conference on Robotics and Automation (ICRA),Crossref,1,1,1,0
