classification,source_union,dedupe_key,record_count,curated_records,archive_records,title,year,venue,doi,url,archive_reasons
both_openalex_crossref,Crossref; OpenAlex,doi:10.61096/978-81-981372-6-5_3,1,1,0,Fundamentals of Additive Manufacturing,2025,"3D Bioprinting: Advances, Challenges, and Fabricating the future",10.61096/978-81-981372-6-5_3,https://doi.org/10.61096/978-81-981372-6-5_3,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3097707,1,1,0,Exploring new etendue configurations for next-generation blurred tomography and the volumetric fabrication of micro-optical components,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3097707,https://doi.org/10.1117/12.3097707,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3100156,1,1,0,Fluorescence profilometry for accurate volumetric additive manufacturing overprinting,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3100156,https://doi.org/10.1117/12.3100156,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3100381,1,1,0,High performance coupled opto-chemical simulation of gradient-index light transport in vat photopolymerization,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3100381,https://doi.org/10.1117/12.3100381,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3098995,1,1,0,Hybrid two-photon polymerization and single-photon tomographic volumetric additive manufacturing,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3098995,https://doi.org/10.1117/12.3098995,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3098324,1,1,0,Overprinting with tomographic volumetric additive manufacturing using Dr. TVAM,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3098324,https://doi.org/10.1117/12.3098324,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3109818,1,1,0,Volumetric printing by reverse tomography: a new paradigm in additive manufacturing,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3109818,https://doi.org/10.1117/12.3109818,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3097608,1,1,0,Volumetric printing of carbon-based architectures,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3097608,https://doi.org/10.1117/12.3097608,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1089/3dp.2023.0127,1,1,0,Review: Application of 3D Printing Technology in Soft Robots,2024,3D Printing and Additive Manufacturing,10.1089/3dp.2023.0127,https://doi.org/10.1089/3dp.2023.0127,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1177/23297662261459248,1,1,0,Optimizing Infill Patterns for Enhanced Durability and Resilience in Direct Ink Writing-Additive Manufacturing of Silicone Elastomers,2026,3D Printing and Additive Manufacturing,10.1177/23297662261459248,https://doi.org/10.1177/23297662261459248,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1108/4dp-03-2026-0005,1,1,0,"Recent progress in 4D printing: materials, methods and applications",2026,4D Printing,10.1108/4dp-03-2026-0005,https://doi.org/10.1108/4dp-03-2026-0005,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/9781394213795.ch3,1,0,1,The Rise of Smart Materials,2025,4D Printing Technology,10.1002/9781394213795.ch3,https://doi.org/10.1002/9781394213795.ch3,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1021/acsbiomaterials.4c01837,1,1,0,Volumetric Additive Manufacturing for Cell Printing: Bridging Industry Adaptation and Regulatory Frontiers,2025,ACS Biomaterials Science &amp; Engineering,10.1021/acsbiomaterials.4c01837,https://doi.org/10.1021/acsbiomaterials.4c01837,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1021/acscentsci.5c00986,1,1,0,One-Vat Multimaterial 3D Printing: The Devil is in the Details,2025,ACS Central Science,10.1021/acscentsci.5c00986,https://doi.org/10.1021/acscentsci.5c00986,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1021/acsmaterialslett.5c00407,1,0,1,Volumetric Additive Manufacturing of Composites via Hydrogel Infusion,2025,ACS Materials Letters,10.1021/acsmaterialslett.5c00407,https://doi.org/10.1021/acsmaterialslett.5c00407,duplicate_title:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1021/acsomega.4c01171,1,1,0,Direct Ink Writing of Strained Carbon Nanotube-Based Sensors: Toward 4D Printable Soft Robotics,2024,ACS Omega,10.1021/acsomega.4c01171,https://doi.org/10.1021/acsomega.4c01171,
both_openalex_crossref,Crossref; OpenAlex,doi:10.3390/act14100468,1,1,0,Optimal Design of 3D-Printed Flexible Fingers for Robotic Soft Gripping of Agricultural Products,2025,Actuators,10.3390/act14100468,https://doi.org/10.3390/act14100468,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104336,1,1,0,Composite strengthening via stress-concentration regions softening: The proof of concept with Schwarzites and Schwarzynes inspired multi-material additive manufacturing,2024,Additive manufacturing,10.1016/j.addma.2024.104336,https://doi.org/10.1016/j.addma.2024.104336,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104120,1,1,0,Cyclodextrins in 3D/4D printing for biomedical applications,2024,Additive manufacturing,10.1016/j.addma.2024.104120,https://doi.org/10.1016/j.addma.2024.104120,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104394,1,1,0,Design for disassembly: Using a multi-material approach in 3D printing for easier recycling strategies,2024,Additive manufacturing,10.1016/j.addma.2024.104394,https://doi.org/10.1016/j.addma.2024.104394,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104415,1,0,1,Digital twins for rapid in-situ qualification of part quality in laser powder bed fusion additive manufacturing,2024,Additive Manufacturing,10.1016/j.addma.2024.104415,https://doi.org/10.1016/j.addma.2024.104415,duplicate_title:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104609,1,1,0,Drying-oriented resolution optimization for multi-material additive manufacturing: A case study on coffee-ring effect,2024,Additive manufacturing,10.1016/j.addma.2024.104609,https://doi.org/10.1016/j.addma.2024.104609,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104221,1,1,0,Electrical anisotropy and its mitigation in conductive polymers printed by vat photopolymerization,2024,Additive Manufacturing,10.1016/j.addma.2024.104221,https://doi.org/10.1016/j.addma.2024.104221,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104048,1,1,0,"Exceptional mechanical performance by spatial printing with continuous fiber: Curved slicing, toolpath generation and physical verification",2024,Additive manufacturing,10.1016/j.addma.2024.104048,https://doi.org/10.1016/j.addma.2024.104048,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104012,1,1,0,"FloatArch: A cable-supported, unreinforced, and re-assemblable 3D-printed concrete structure designed using multi-material topology optimization",2024,Additive manufacturing,10.1016/j.addma.2024.104012,https://doi.org/10.1016/j.addma.2024.104012,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104001,1,1,0,In-situ interferometric curing monitoring for digital light processing based vat photopolymerization additive manufacturing,2024,Additive Manufacturing,10.1016/j.addma.2024.104001,https://doi.org/10.1016/j.addma.2024.104001,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104529,1,1,0,Multi-material additive manufacturing of steel/Al alloy by controlling the liquid/solid interface in laser beam powder bed fusion,2024,Additive manufacturing,10.1016/j.addma.2024.104529,https://doi.org/10.1016/j.addma.2024.104529,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104627,1,1,0,Multi-material ceramic hybrid additive manufacturing based on vat photopolymerization and material extrusion compound process,2024,Additive manufacturing,10.1016/j.addma.2024.104627,https://doi.org/10.1016/j.addma.2024.104627,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104178,1,0,1,Multi-material embedded 3D printing for one-step manufacturing of multifunctional components in soft robotics,2024,Additive Manufacturing,10.1016/j.addma.2024.104178,https://doi.org/10.1016/j.addma.2024.104178,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104618,1,1,0,Multi-material laser powder bed fusion additive manufacturing of dual-phase laminated heterostructure of Cantor high-entropy alloy and Martensitic steel for overcoming strength-ductility trade-off,2024,Additive manufacturing,10.1016/j.addma.2024.104618,https://doi.org/10.1016/j.addma.2024.104618,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104552,1,1,0,Numerical modeling of tomographic volumetric additive manufacturing based on energy threshold method,2024,Additive Manufacturing,10.1016/j.addma.2024.104552,https://doi.org/10.1016/j.addma.2024.104552,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104538,1,1,0,On-line inspection of lattice structures and metamaterials via in-situ imaging in additive manufacturing,2024,Additive manufacturing,10.1016/j.addma.2024.104538,https://doi.org/10.1016/j.addma.2024.104538,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104189,1,1,0,Review of vat photopolymerization 3D printing of photonic devices,2024,Additive manufacturing,10.1016/j.addma.2024.104189,https://doi.org/10.1016/j.addma.2024.104189,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104510,1,1,0,The development and characterisation of 3D-printed multi-material thermistor,2024,Additive manufacturing,10.1016/j.addma.2024.104510,https://doi.org/10.1016/j.addma.2024.104510,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104018,1,1,0,Thermal conductivity of three-dimensional multi-material core-shell filament structures obtained by material extrusion,2024,Additive manufacturing,10.1016/j.addma.2024.104018,https://doi.org/10.1016/j.addma.2024.104018,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104447,1,1,0,Tomographic projection optimization for volumetric additive manufacturing with general band constraint Lp-norm minimization,2024,Additive Manufacturing,10.1016/j.addma.2024.104447,https://doi.org/10.1016/j.addma.2024.104447,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104094,1,1,0,Volumetric additive manufacturing: A new frontier in layer-less 3D printing,2024,Additive Manufacturing,10.1016/j.addma.2024.104094,https://doi.org/10.1016/j.addma.2024.104094,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1201/9781003343868-12,1,1,0,Additive Manufacturing of Multi-Material Structures,2025,Additive manufacturing,10.1201/9781003343868-12,https://doi.org/10.1201/9781003343868-12,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104850,1,1,0,Exploring the impact of volumetric additive manufacturing of photo-crosslinkable gelatin on mesenchymal stromal cell behavior and differentiation,2025,Additive Manufacturing,10.1016/j.addma.2025.104850,https://doi.org/10.1016/j.addma.2025.104850,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.105074,1,1,0,"Exploring the mechanical, biological and degradation properties of PVA and PETG for engineering multi-material 4D printed actuators triggered by degradation",2025,Additive manufacturing,10.1016/j.addma.2025.105074,https://doi.org/10.1016/j.addma.2025.105074,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.105038,1,1,0,High-performance electromagnetic micropumps fabricated via multi-material jetting additive manufacturing,2025,Additive manufacturing,10.1016/j.addma.2025.105038,https://doi.org/10.1016/j.addma.2025.105038,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104844,1,1,0,Impact of oxygen inhibition on (meth)acrylate photopolymerization in tomographic volumetric printing,2025,Additive Manufacturing,10.1016/j.addma.2025.104844,https://doi.org/10.1016/j.addma.2025.104844,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104963,1,1,0,Implicit toolpath generation for functionally graded additive manufacturing via gradient-informed slicing,2025,Additive manufacturing,10.1016/j.addma.2025.104963,https://doi.org/10.1016/j.addma.2025.104963,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104817,1,1,0,In-process density measurement for model-based process optimization of functionally graded foam microcellular structures in material extrusion additive manufacturing,2025,Additive manufacturing,10.1016/j.addma.2025.104817,https://doi.org/10.1016/j.addma.2025.104817,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104781,1,1,0,Investigating thermal strains and chemical shrinkage in tomographic volumetric additive manufacturing,2025,Additive Manufacturing,10.1016/j.addma.2025.104781,https://doi.org/10.1016/j.addma.2025.104781,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104999,1,1,0,Metastable phase transformations are key to graded immiscible multi-materials via additive manufacturing,2025,Additive manufacturing,10.1016/j.addma.2025.104999,https://doi.org/10.1016/j.addma.2025.104999,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104959,1,1,0,Multi-material nozzle geometry design optimization for bioprinting,2025,Additive manufacturing,10.1016/j.addma.2025.104959,https://doi.org/10.1016/j.addma.2025.104959,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.105059,1,1,0,"Non-planar additive manufacturing: A comprehensive review of path planning, system integration, process control, and applications",2025,Additive manufacturing,10.1016/j.addma.2025.105059,https://doi.org/10.1016/j.addma.2025.105059,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104992,1,1,0,Reinforcement learning-enabled design of topological interlocking materials for sustainable multi-material additive manufacturing,2025,Additive manufacturing,10.1016/j.addma.2025.104992,https://doi.org/10.1016/j.addma.2025.104992,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.105009,1,1,0,Resolving hydrophilic–hydrophobic resin mismatch for single-step volumetric additive manufacturing of cell-adhesive polyesters,2025,Additive Manufacturing,10.1016/j.addma.2025.105009,https://doi.org/10.1016/j.addma.2025.105009,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104971,1,1,0,"Revealing the interplay between element mixing, intermetallics, and microcracks in multi-material laser additive manufacturing",2025,Additive manufacturing,10.1016/j.addma.2025.104971,https://doi.org/10.1016/j.addma.2025.104971,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2024.104631,1,1,0,Simulation-in-the-loop additive manufacturing for real-time structural validation and digital twin development,2025,Additive Manufacturing,10.1016/j.addma.2024.104631,https://doi.org/10.1016/j.addma.2024.104631,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.104774,1,1,0,Simultaneous topology and toolpath optimization for layer-free multi-axis additive manufacturing of 3D composite structures,2025,Additive manufacturing,10.1016/j.addma.2025.104774,https://doi.org/10.1016/j.addma.2025.104774,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2026.105137,1,0,1,A meshing framework for digital twins for extrusion based additive manufacturing,2026,Additive Manufacturing,10.1016/j.addma.2026.105137,https://doi.org/10.1016/j.addma.2026.105137,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addma.2025.105054,1,1,0,Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin,2026,Additive Manufacturing,10.1016/j.addma.2025.105054,https://doi.org/10.1016/j.addma.2025.105054,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.amf.2026.200359,1,1,0,Spatially programmable 4D printing of photoresponsive liquid crystal elastomers for adaptive energy dissipation,2026,Additive Manufacturing Frontiers,10.1016/j.amf.2026.200359,https://doi.org/10.1016/j.amf.2026.200359,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1016/j.addlet.2026.100396,1,1,0,Beyond lattices: A geometry-first computational design framework for additive manufacturing of porous architectures,2026,Additive Manufacturing Letters,10.1016/j.addlet.2026.100396,https://doi.org/10.1016/j.addlet.2026.100396,
both_openalex_crossref,Crossref; OpenAlex,doi:10.62486/978-9915-704-06-7.ch05,1,1,0,3D Printing of Functional Materials and Smart Automation Systems: Integrated Technological Pathways for Modern Oil–Gas–Chemical Engineering,2026,"Advanced composite materials, biopolymers, and additive manufacturing for oil-gas-chemical engineering (English edition)",10.62486/978-9915-704-06-7.ch05,https://doi.org/10.62486/978-9915-704-06-7.ch05,
both_openalex_crossref,Crossref; OpenAlex,doi:10.62486/978-9915-704-06-7.ch04,1,1,0,Automation-Enabled Engineering Futures: Linking Oil-and-Gas Innovation with Renewable Biopolymer Feedstocks for Additive Manufacturing,2026,"Advanced composite materials, biopolymers, and additive manufacturing for oil-gas-chemical engineering (English edition)",10.62486/978-9915-704-06-7.ch04,https://doi.org/10.62486/978-9915-704-06-7.ch04,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adem.202301699,1,1,0,Dual‐Wavelength Vat Photopolymerization 3D Printing with Hybrid Acrylate‐Epoxy Resins: Influence of Resin Composition on Microstructure and Mechanical Properties,2024,Advanced Engineering Materials,10.1002/adem.202301699,https://doi.org/10.1002/adem.202301699,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adem.202301917,1,1,0,Human–Material Interaction Enabled by Fused Filament Fabrication 4D Printing,2024,Advanced Engineering Materials,10.1002/adem.202301917,https://doi.org/10.1002/adem.202301917,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3091954,1,1,0,Exploring advanced optical configurations for high-resolution tomographic volumetric additive manufacturing,2026,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XIX,10.1117/12.3091954,https://doi.org/10.1117/12.3091954,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3080463,1,1,0,Intensity adjustment of tomographic volumetric additive manufacturing projection image sets,2026,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XIX,10.1117/12.3080463,https://doi.org/10.1117/12.3080463,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3009478,1,1,0,Manufacturing of metallic components via computed axial lithography and hydrogel infusion additive manufacturing,2024,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVII,10.1117/12.3009478,https://doi.org/10.1117/12.3009478,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3000331,1,1,0,Multicolor tomographic volumetric printing: property modulation and beyond,2024,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVII,10.1117/12.3000331,https://doi.org/10.1117/12.3000331,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3042194,1,1,0,An inverse rendering framework for tomographic volumetric additive manufacturing,2025,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,10.1117/12.3042194,https://doi.org/10.1117/12.3042194,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3042390,1,1,0,Building with volumetric additive manufacturing,2025,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,10.1117/12.3042390,https://doi.org/10.1117/12.3042390,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3039575,1,1,0,Novel printing geometries for tomographic volumetric additive manufacturing,2025,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,10.1117/12.3039575,https://doi.org/10.1117/12.3039575,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3048438,1,1,0,Parallax manufacturing: a high dimensionality volumetric additive manufacturing framework,2025,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,10.1117/12.3048438,https://doi.org/10.1117/12.3048438,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1117/12.3047445,1,1,0,Volumetric additive manufacturing: where do we go from here?,2025,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,10.1117/12.3047445,https://doi.org/10.1117/12.3047445,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adfm.202531982,1,1,0,Dispensing Volumetric Additive Manufacturing,2026,Advanced Functional Materials,10.1002/adfm.202531982,https://doi.org/10.1002/adfm.202531982,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adfm.202522676,1,1,0,Spatially Tailorable Liquid Crystalline Elastomer Alignment During Digital Light Process 3D Printing,2026,Advanced Functional Materials,10.1002/adfm.202522676,https://doi.org/10.1002/adfm.202522676,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/aidi.202500177,1,1,0,Self‐Driving Laboratory Optimizes the Lower Critical Solution Temperature of Thermoresponsive Polymers,2026,Advanced Intelligent Discovery,10.1002/aidi.202500177,https://doi.org/10.1002/aidi.202500177,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/aisy.202300505,1,1,0,Diversity‐Based Topology Optimization of Soft Robotic Grippers,2024,Advanced Intelligent Systems,10.1002/aisy.202300505,https://doi.org/10.1002/aisy.202300505,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/aisy.202600008,1,0,1,A Self‐Driving Lab for Solution‐Processed Electrochromic Thin Films,2026,Advanced Intelligent Systems,10.1002/aisy.202600008,https://doi.org/10.1002/aisy.202600008,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/aisy.202501277,1,1,0,Electrothermally Controlled 3D‐Printed Shape Memory Polymers for Near‐Ambient Temperature Soft Robotic Applications,2026,Advanced Intelligent Systems,10.1002/aisy.202501277,https://doi.org/10.1002/aisy.202501277,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/aisy.70431,1,0,1,One‐Shot Multimaterial 3D Printing of a Flexible Spine for a Robotic Fish Prototype,2026,Advanced Intelligent Systems,10.1002/aisy.70431,https://doi.org/10.1002/aisy.70431,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adma.202310743,1,1,0,Liquid Crystal Elastomer Lattices with Thermally Programmable Deformation via Multi‐Material 3D Printing,2024,Advanced Materials,10.1002/adma.202310743,https://doi.org/10.1002/adma.202310743,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/admt.202500078,1,1,0,4D Printing of Polymer‐Dispersed Liquid Crystal Elastomers toward Tunable Vibration Isolation and Cushioning Properties,2025,Advanced Materials Technologies,10.1002/admt.202500078,https://doi.org/10.1002/admt.202500078,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/admt.202501075,1,0,1,Multimaterial Microrobots for pH Sensing Fabricated Using Sequential 3D and 4D Printing with Automated Alignment,2025,Advanced Materials Technologies,10.1002/admt.202501075,https://doi.org/10.1002/admt.202501075,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/admt.202501581,1,0,1,Rotary 4D Printing of Programmable Metamaterials on Sustainable 4D Mandrel,2025,Advanced Materials Technologies,10.1002/admt.202501581,https://doi.org/10.1002/admt.202501581,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/admt.202501649,1,1,0,Tomographic Volumetric Additive Manufacturing of Silica Glass with In Situ Error Calculation and Projection Tiling,2025,Advanced Materials Technologies,10.1002/admt.202501649,https://doi.org/10.1002/admt.202501649,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/admt.202501355,1,1,0,A Thermally Expandable Resin for the Volumetric Additive Manufacturing of Shape‐Memory Functional Foams,2026,Advanced Materials Technologies,10.1002/admt.202501355,https://doi.org/10.1002/admt.202501355,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adrr.202500064,1,1,0,Multi‐Material Additive Manufacturing of Soft Robotic Systems: A Comprehensive Review,2025,Advanced Robotics Research,10.1002/adrr.202500064,https://doi.org/10.1002/adrr.202500064,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/adrr.202500054,1,1,0,Design Optimization of a Variable Stiffness Robotic Gripper with Passive Restoration Fabricated by Multimaterial 3D Printing,2026,Advanced Robotics Research,10.1002/adrr.202500054,https://doi.org/10.1002/adrr.202500054,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/advs.202308561,1,1,0,Photochemically Induced Propulsion of a 4D Printed Liquid Crystal Elastomer Biomimetic Swimmer,2024,Advanced Science,10.1002/advs.202308561,https://doi.org/10.1002/advs.202308561,
