record_index,layer,classification,sources,title,year,venue,doi,url,archive_reason,relevance_score
13,curated,openalex_only,OpenAlex,Benefits and Constraints Associated with the AM of Functionally Graded Materials,2026,Additive manufacturing,10.1201/9781003544937-6,https://doi.org/10.1201/9781003544937-6,,8
14,curated,openalex_only,OpenAlex,"Applications of Additively Manufactured Composites, Functionally Graded Materials and Smart Structures",2026,Additive manufacturing,10.1201/9781003544937-12,https://doi.org/10.1201/9781003544937-12,,8
15,curated,openalex_only,OpenAlex,Advancing New Material and Process Capabilities for Multi-Material High Performance Thermoset Additive Manufacturing,2026,VTechWorks (Virginia Tech),,https://openalex.org/W7162227437,,8
16,curated,both_openalex_crossref,Crossref; OpenAlex,"Advances in multi-material polymer 3D printing depositions: techniques, materials combinations, challenges, and emerging applications",2026,Frontiers in Mechanical Engineering,10.3389/fmech.2026.1802237,https://doi.org/10.3389/fmech.2026.1802237,,8
17,curated,both_openalex_crossref,Crossref; OpenAlex,Additive Manufacturing with Graded Bio-Polymer Composites,2026,"ROB|ARCH2024 – Robotic Fabrication in Architecture, Art and Design",10.1007/978-3-032-22607-5_5,https://doi.org/10.1007/978-3-032-22607-5_5,,8
18,curated,openalex_only,OpenAlex,"3D‐Printed Metamaterial‐Based Soft Sensors: Materials, Design, and Fabrications",2026,Small,10.1002/smll.74122,https://doi.org/10.1002/smll.74122,,8
19,curated,openalex_only,OpenAlex,i-Tac: Inverse Design of 3D-Printed Tactile Elastomers with Scalable and Tunable Optical and Mechanical Properties,2026,ArXiv.org,,https://openalex.org/W7154539514,,7
20,curated,crossref_only,Crossref,Welding robot digital twin and precision degradation prediction based on physics-informed neural networks,2026,Journal of Manufacturing Systems,10.1016/j.jmsy.2026.04.024,https://doi.org/10.1016/j.jmsy.2026.04.024,,7
21,curated,both_openalex_crossref,Crossref; OpenAlex,Visualizing Catalyst Materials with Multi-Material 3D Printing,2026,ChemRxiv,10.26434/chemrxiv.15001042/v1,https://doi.org/10.26434/chemrxiv.15001042/v1,,7
22,curated,crossref_only,Crossref,"Vat Photopolymerization Additive Manufacturing for Advanced Ceramics: Techniques, Multimaterial Strategies, and Applications",2026,Advanced Engineering Materials,10.1002/adem.202501811,https://doi.org/10.1002/adem.202501811,,7
23,curated,both_openalex_crossref,Crossref; OpenAlex,Types of Metal 3D Printing,2026,Metal Additive Manufacturing,10.1201/9781003731559-3,https://doi.org/10.1201/9781003731559-3,,7
24,curated,openalex_only,OpenAlex,Tunable gold nanoparticle synthesis using microfluidic flow focusing enabled by reusable 3D-printed multimaterial connectors,2026,Microchimica Acta,10.1007/s00604-026-07848-4,https://doi.org/10.1007/s00604-026-07848-4,,7
25,curated,crossref_only,Crossref,Tribological Behaviour of Additively Manufactured Dual-Material Polymer Composites,2026,Venue unknown,10.2139/ssrn.6391577,https://doi.org/10.2139/ssrn.6391577,,7
26,curated,openalex_only,OpenAlex,Transition Behavior in Blended Material Large Format Additive Manufacturing,2026,Polymers,10.3390/polym18020178,https://doi.org/10.3390/polym18020178,,7
27,curated,openalex_only,OpenAlex,Towards sustainable hydrogen infrastructures: Additive manufacturing of metallic materials for enhanced resistance to hydrogen embrittlement,2026,Materials Today Sustainability,10.1016/j.mtsust.2026.101339,https://doi.org/10.1016/j.mtsust.2026.101339,,7
28,curated,crossref_only,Crossref,Toolpath Design Calibration for Robotic Spatial Printing with Supervised Learning,2026,"ROB|ARCH2024 – Robotic Fabrication in Architecture, Art and Design",10.1007/978-3-032-22607-5_24,https://doi.org/10.1007/978-3-032-22607-5_24,,7
29,curated,openalex_only,OpenAlex,Thermal Deformation in Non-Planar Large-Scale Additive Manufacturing of ABS: Experimental and Finite Element Analysis,2026,Materials,10.3390/ma19061064,https://doi.org/10.3390/ma19061064,,7
30,curated,crossref_only,Crossref,Synergy between Digital Twin and Cyber-Physical System in Manufacturing,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-9,https://doi.org/10.1201/9781003504825-9,,7
31,curated,crossref_only,Crossref,"Sustainability in 3D Printing: Embracing the Circular Economy Model for Challenges, Opportunities, and Strategies",2026,Venue unknown,10.31224/6823,https://doi.org/10.31224/6823,,7
32,curated,both_openalex_crossref,Crossref; OpenAlex,Structural design of a multimaterial DLP photocuring 3D printer for unsupported printing,2026,"International Conference on Mechanical, Engineering, and Interaction Design (ICMEID 2025)",10.1117/12.3088793,https://doi.org/10.1117/12.3088793,,7
33,curated,openalex_only,OpenAlex,Smart Operation Platform for Railway Rolling Stock Production Using Digital Twin and AI,2026,International Journal of Precision Engineering and Manufacturing-Green Technology,10.1007/s40684-026-00906-5,https://doi.org/10.1007/s40684-026-00906-5,,7
34,curated,openalex_only,OpenAlex,Single-parameter programmed thermomechanical actuation via 3D-printed helical director fields in liquid crystal elastomers,2026,Nature Communications,10.1038/s41467-026-73204-y,https://doi.org/10.1038/s41467-026-73204-y,,7
35,curated,openalex_only,OpenAlex,Sharp Dual-Regime Transition Driven by Bead Morphology in Metal Fused Filament Fabrication: Bead-Resolved Digital Twin Analysis,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19140717,https://doi.org/10.5281/zenodo.19140717,,7
36,curated,openalex_only,OpenAlex,ShapeGen3DCP: A deep learning framework for layer shape prediction in 3D concrete printing,2026,Computers & Structures,10.1016/j.compstruc.2026.108142,https://doi.org/10.1016/j.compstruc.2026.108142,,7
37,curated,crossref_only,Crossref,Rotational Multimaterial 3D Printing of Soft Robotic Matter With Embedded Asymmetrical Pneumatics,2026,Advanced Materials,10.1002/adma.202510141,https://doi.org/10.1002/adma.202510141,,7
38,curated,crossref_only,Crossref,Role of Digital Twins in Industry 4.0 and Its Significance for Sustainable Development,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-1,https://doi.org/10.1201/9781003504825-1,,7
39,curated,openalex_only,OpenAlex,"Review of Current Trends, Materials and Challenges in 3D Printing for Biomedical Applications Using Polylactic Acid",2026,Al-Khwarizmi Engineering Journal,10.22153/kej.2026.04.002,https://doi.org/10.22153/kej.2026.04.002,,7
40,curated,both_openalex_crossref,Crossref; OpenAlex,"Recent progress in 4D printing: materials, methods and applications",2026,4D Printing,10.1108/4dp-03-2026-0005,https://doi.org/10.1108/4dp-03-2026-0005,,7
41,curated,openalex_only,OpenAlex,Recent advances in machine learning based optimization of porous propeller aerodynamics for unmanned aerial vehicle systems,2026,Discover Mechanical Engineering,10.1007/s44245-026-00274-z,https://doi.org/10.1007/s44245-026-00274-z,,7
42,curated,openalex_only,OpenAlex,Recent Advances in Friction Stir Additive Manufacturing: A Review of Mechanical and Microstructural Performance in Similar and Dissimilar Composites,2026,Mechanika,10.5755/j02.mech.40395,https://doi.org/10.5755/j02.mech.40395,,7
43,curated,openalex_only,OpenAlex,Recent Advances and Development Trends of Global Top Drive Drilling Systems,2026,DOAJ (DOAJ: Directory of Open Access Journals),,https://openalex.org/W7164873194,,7
44,curated,crossref_only,Crossref,Quasi-real-time digital twin for robotic assembly: a physics-based multi-fidelity framework,2026,Journal of Intelligent Manufacturing,10.1007/s10845-026-02879-3,https://doi.org/10.1007/s10845-026-02879-3,,7
45,curated,both_openalex_crossref,Crossref; OpenAlex,"Quality-centric digital twins in additive manufacturing: a review of the state-of-the-art, challenges, and future directions",2026,Digital Twin,10.1080/27525783.2026.2613469,https://doi.org/10.1080/27525783.2026.2613469,,7
46,curated,openalex_only,OpenAlex,Progresses and Challenges in Additive Manufacturing of Bulk Metallic Glasses,2026,Journal of Manufacturing and Materials Processing,10.3390/jmmp10040121,https://doi.org/10.3390/jmmp10040121,,7
47,curated,crossref_only,Crossref,Process Optimization in Smart Manufacturing via Data-Driven Approaches and Digital Twin Simulations,2026,Frontiers in Interdisciplinary Applied Science,10.71465/fias621,https://doi.org/10.71465/fias621,,7
48,curated,crossref_only,Crossref,Predicting the Future of Sustainable Manufacturing with Digital Twin Systems,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-8,https://doi.org/10.1201/9781003504825-8,,7
49,curated,both_openalex_crossref,Crossref; OpenAlex,Physics-Informed Digital Twin for Melt Pool Prediction and Stability in Laser Powder Bed Fusion of Nitinol,2026,SSRN Electronic Journal,10.2139/ssrn.6270297,https://doi.org/10.2139/ssrn.6270297,,7
50,curated,openalex_only,OpenAlex,Overcoming synchronization challenges in machining digital twins: transpiling legacy NC dialects to enhance interoperability,2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-026-17723-4,https://doi.org/10.1007/s00170-026-17723-4,,7
51,curated,both_openalex_crossref,Crossref; OpenAlex,Optimization of the Design and Manufacturing Processes for Metal Additive Manufacturing Through Digital Twin,2026,Processes,10.3390/pr14030571,https://doi.org/10.3390/pr14030571,,7
52,curated,crossref_only,Crossref,Optimization of Mechanical Manufacturing Process Based on Digital Twin Technology,2026,Procedia Computer Science,10.1016/j.procs.2026.05.030,https://doi.org/10.1016/j.procs.2026.05.030,,7
53,curated,crossref_only,Crossref,Optimization of Manufacturing Processes Using Digital Twin/Cyber-Physical System,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-4,https://doi.org/10.1201/9781003504825-4,,7
54,curated,openalex_only,OpenAlex,Non-planar slicing for high-genus surfaces with non-coplanar interfaces,2026,Virtual and Physical Prototyping,10.1080/17452759.2025.2603853,https://doi.org/10.1080/17452759.2025.2603853,,7
55,curated,openalex_only,OpenAlex,New frontiers in bioengineering: A perspective on the open challenges in bioprinting,2026,International Journal of Bioprinting,10.36922/ijb025500517,https://doi.org/10.36922/ijb025500517,,7
56,curated,openalex_only,OpenAlex,Multimodal Layer‐Crossing Interrogation of Brain Circuits Enabled by Microfluidic Axialtrodes,2026,Advanced Science,10.1002/advs.202519744,https://doi.org/10.1002/advs.202519744,,7
57,curated,openalex_only,OpenAlex,"Multi-domain fusion meta-model for digital twin in precision manufacturing: design, implementation and verification",2026,Complex & Intelligent Systems,10.1007/s40747-026-02348-7,https://doi.org/10.1007/s40747-026-02348-7,,7
58,curated,openalex_only,OpenAlex,Modelling vat photopolymerization: a comprehensive review and perspectives on digital twinning and advancing multi-wavelength processes,2026,Virtual and Physical Prototyping,10.1080/17452759.2026.2632491,https://doi.org/10.1080/17452759.2026.2632491,,7
59,curated,openalex_only,OpenAlex,Modelling a digital twin of KUKA Robot : for LUT hitsaustekniikka laboratory using KUKA.Sim 4.10,2026,Theseus (Ammattikorkeakoulujen),,https://openalex.org/W7163470160,,7
60,curated,openalex_only,OpenAlex,Mixing‐Driven Defects and Composition Evolution in Multi‐Material Metal Additive Manufacturing,2026,Advanced Science,10.1002/advs.75723,https://doi.org/10.1002/advs.75723,,7
61,curated,openalex_only,OpenAlex,Mechatronic Design and Development of a Lower-Limb Exoskeleton System Based on Knee Joint Biomechanical Principles Using Electro-Pneumatic Actuation with an Embedded EMG Controller for Experimental Validation in Elderly Gait Rehabilitation Support,2026,Bioengineering,10.3390/bioengineering13060644,https://doi.org/10.3390/bioengineering13060644,,7
62,curated,openalex_only,OpenAlex,Mechanics-informed AI laser 4D frameworks for adaptive materials processing and sustainable manufacturing: a quantitative review,2026,Australian Journal of Multi-Disciplinary Engineering,10.1080/14488388.2026.2615609,https://doi.org/10.1080/14488388.2026.2615609,,7
63,curated,crossref_only,Crossref,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,2026,Venue unknown,10.1201/9781003504825,https://doi.org/10.1201/9781003504825,,7
64,curated,crossref_only,Crossref,Life Cycle Assessment (LCA) Integration and Environmental Impact Modelling of Digital Twin,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-7,https://doi.org/10.1201/9781003504825-7,,7
65,curated,both_openalex_crossref,Crossref; OpenAlex,Learning-based toolpath planning for bed-based additive manufacturing,2026,Engineering With Computers,10.1007/s00366-026-02334-0,https://doi.org/10.1007/s00366-026-02334-0,,7
66,curated,openalex_only,OpenAlex,"InterwovenXR: A Cyber–Physical–Social Testbed System for Robotics, Digital Twins, and Hyperautomation",2026,Computer,10.1109/mc.2026.3671749,https://doi.org/10.1109/mc.2026.3671749,,7
67,curated,openalex_only,OpenAlex,Interfacial structure − property relationships in additively manufactured WC-Co/316L multi-material systems,2026,Materials & Design,10.1016/j.matdes.2026.116367,https://doi.org/10.1016/j.matdes.2026.116367,,7
68,curated,openalex_only,OpenAlex,"Integration of reinforcement learning in robotic additive manufacturing control: Advances, challenges, and future perspectives",2026,Journal of Manufacturing Processes,10.1016/j.jmapro.2026.04.069,https://doi.org/10.1016/j.jmapro.2026.04.069,,7
69,curated,crossref_only,Crossref,Integration of Digital Twin Technology into Intelligent Manufacturing Systems for Enhancing Sustainability in Industry 4.0,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-2,https://doi.org/10.1201/9781003504825-2,,7
70,curated,openalex_only,OpenAlex,Integrating Optical Feedback Alignment and Fluidic Control for Multiphase Flow‐Assisted In Situ 3D Printing,2026,Journal of Separation Science,10.1002/jssc.70371,https://doi.org/10.1002/jssc.70371,,7
71,curated,openalex_only,OpenAlex,"Integrating Additive Manufacturing into Dental Production: Innovations, Applications and Challenges",2026,Inventions,10.3390/inventions11010007,https://doi.org/10.3390/inventions11010007,,7
72,curated,openalex_only,OpenAlex,Integrated Manufacturing of Soft Robots Based on 3D Printing,2026,Mathematical Modeling and Algorithm Application,10.54097/30b91y36,https://doi.org/10.54097/30b91y36,,7
73,curated,both_openalex_crossref,Crossref; OpenAlex,In-situ monitoring of geometric drift and thermo-mechanical modeling toward a digital twin for thin-wall fused filament fabrication,2026,Multifunctional Materials and Structures II,10.1117/12.3090447,https://doi.org/10.1117/12.3090447,,7
74,curated,openalex_only,OpenAlex,Importance of surface roughness to the performance of additively-manufactured magnets,2026,Measurement Science and Technology,10.1088/1361-6501/ae671e,https://doi.org/10.1088/1361-6501/ae671e,,7
75,curated,openalex_only,OpenAlex,"Graphene/CNT Nanocomposites: Processing, Properties, and Applications",2026,Nanomaterials,10.3390/nano16020100,https://doi.org/10.3390/nano16020100,,7
76,curated,openalex_only,OpenAlex,"Gel-Based 3D Food Printing for Dysphagia Management: Advances in Personalized Nutrition, Texture Control, and Clinical Translation",2026,Gels,10.3390/gels12040289,https://doi.org/10.3390/gels12040289,,7
77,curated,openalex_only,OpenAlex,Functionally Graded Nickel-Based Coatings: A Comprehensive Review,2026,Coatings,10.3390/coatings16040397,https://doi.org/10.3390/coatings16040397,,7
78,curated,openalex_only,OpenAlex,"From printed architectures to functional batteries: printing technologies, post-processing, and sintering",2026,Advanced Materials Joining,10.1007/s44500-026-00002-3,https://doi.org/10.1007/s44500-026-00002-3,,7
79,curated,crossref_only,Crossref,From Physical Realm to Digital Twin: An Additive Manufacturing Approach to Digital Twin Testbed Development,2026,AIAA SCITECH 2026 Forum,10.2514/6.2026-2122,https://doi.org/10.2514/6.2026-2122,,7
80,curated,both_openalex_crossref,Crossref; OpenAlex,From Digital Twins to Immersive Manufacturing: XR and Gesture‐Based Control for Enhancing Human–Robot Collaboration,2026,IET Collaborative Intelligent Manufacturing,10.1049/cim2.70055,https://doi.org/10.1049/cim2.70055,,7
81,curated,both_openalex_crossref,Crossref; OpenAlex,Experimental validation of the Ensemble Kalman Filter as a Laser Powder Bed Fusion digital twin,2026,Additive Manufacturing,10.1016/j.addma.2025.105054,https://doi.org/10.1016/j.addma.2025.105054,,7
82,curated,openalex_only,OpenAlex,Environment-Aware Path Generation for Robotic Additive Manufacturing of Structures,2026,ArXiv.org,,https://openalex.org/W7134291572,,7
83,curated,openalex_only,OpenAlex,Enabling geometry and toolpath generalization for machine learning based thermal modeling in laser powder bed fusion,2026,npj Artificial Intelligence,10.1038/s44387-026-00088-0,https://doi.org/10.1038/s44387-026-00088-0,,7
84,curated,openalex_only,OpenAlex,"Emerging Paradigms in 3D Bioprinting: A Critical Review of Volumetric, Embedded, and Multi-Material Fabrication for Biomedical Applications",2026,Bioprinting,10.1016/j.bprint.2026.e00491,https://doi.org/10.1016/j.bprint.2026.e00491,,7
85,curated,both_openalex_crossref,Crossref; OpenAlex,Dual-Scale Synergistic Design: Oriented Material Stiffness and Deposition Path Planning for Enhanced Performance in Large-Format Additive Manufacturing of Short Carbon Fiber Components,2026,Materials,10.3390/ma19112346,https://doi.org/10.3390/ma19112346,,7
86,curated,both_openalex_crossref,Crossref; OpenAlex,Digital twin–driven multiscale modelling for real-time defect prediction in metal additive manufacturing,2026,Scientific Reports,10.1038/s41598-026-58348-7,https://doi.org/10.1038/s41598-026-58348-7,,7
87,curated,openalex_only,OpenAlex,Digital twin-based intelligent warehouse thermal environment simulation and automated control optimization,2026,Thermal Science,10.2298/tsci2601041l,https://doi.org/10.2298/tsci2601041l,,7
88,curated,crossref_only,Crossref,Digital twin modeling features for smart manufacturing,2026,Automation Modern Techologies,10.36652/0869-4931-2026-80-1-29-34,https://doi.org/10.36652/0869-4931-2026-80-1-29-34,,7
89,curated,crossref_only,Crossref,Digital twin model for performance analysis and manufacturing process optimization,2026,Pollack Periodica,10.1556/606.2025.01511,https://doi.org/10.1556/606.2025.01511,,7
90,curated,openalex_only,OpenAlex,Digital twin for in – space manufacturing: a comprehensive review from framework to future,2026,Virtual and Physical Prototyping,10.1080/17452759.2026.2639147,https://doi.org/10.1080/17452759.2026.2639147,,7
91,curated,crossref_only,Crossref,Digital twin for early-stage fault detection in a hybrid manufacturing cell,2026,Digital Twin,10.1080/27525783.2026.2622705,https://doi.org/10.1080/27525783.2026.2622705,,7
92,curated,crossref_only,Crossref,Digital Twin–CPS Synergy in Manufacturing,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-10,https://doi.org/10.1201/9781003504825-10,,7
93,curated,crossref_only,Crossref,Digital Twin-Enabled Multi-Objective Optimization for Pilot-Scale Manufacturing of Generic BCS Class II Drug Products: Process Robustness and Economic Feasibility Analysis,2026,Venue unknown,10.2139/ssrn.6140865,https://doi.org/10.2139/ssrn.6140865,,7
94,curated,crossref_only,Crossref,Digital Twin-Based Quality Inspection and Process Optimization for Production Lines,2026,2026 International Conference on Intelligent Manufacturing and Automation (IMA),10.1109/ima68480.2026.11517804,https://doi.org/10.1109/ima68480.2026.11517804,,7
95,curated,openalex_only,OpenAlex,Digital Twin for Integration of Control and Diagnostics of Electromechanical Systems Under Uncertainty,2026,ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),10.5935/jetia.v12i58.3405,https://doi.org/10.5935/jetia.v12i58.3405,,7
96,curated,openalex_only,OpenAlex,Digital Twin Inference from Multi-physical Simulation Data of DED Additive Manufacturing Processes with Neural ODEs,2026,Lecture notes in computational science and engineering,10.1007/978-3-032-16253-3_8,https://doi.org/10.1007/978-3-032-16253-3_8,,7
97,curated,openalex_only,OpenAlex,Digital Twin Implementation Strategies for Complex Manufacturing Ecosystems: A Multi-Level Integration Framework,2026,ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),10.5935/jetia.v12i58.3071,https://doi.org/10.5935/jetia.v12i58.3071,,7
98,curated,openalex_only,OpenAlex,Digital Tools in Aluminum Alloy Processing,2026,Encyclopedia,10.3390/encyclopedia6060134,https://doi.org/10.3390/encyclopedia6060134,,7
99,curated,openalex_only,OpenAlex,Design and one-shot fabrication of a 2-DOF tendon-driven robotic finger via additive manufacturing using continuous CFRP,2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-026-18134-1,https://doi.org/10.1007/s00170-026-18134-1,,7
100,curated,crossref_only,Crossref,Data-informed Digital Twin for large-scale 3D printing in construction,2026,Automation in Construction,10.1016/j.autcon.2025.106706,https://doi.org/10.1016/j.autcon.2025.106706,,7
101,curated,openalex_only,OpenAlex,Concrete for Extraterrestrial Construction – Ideal for 3D Printing in Space,2026,International Journal For Multidisciplinary Research,10.36948/ijfmr.2026.v08i03.81457,https://doi.org/10.36948/ijfmr.2026.v08i03.81457,,7
102,curated,crossref_only,Crossref,Composite potential field control for human-robot collaborative assembly robotic arm based on digital twin,2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-026-17486-y,https://doi.org/10.1007/s00170-026-17486-y,,7
103,curated,openalex_only,OpenAlex,"Comparative review of additive manufacturing techniques for shape memory alloys: Process optimization, property-functionality relationships, and future 4D printing opportunities",2026,Next Materials,10.1016/j.nxmate.2026.102524,https://doi.org/10.1016/j.nxmate.2026.102524,,7
104,curated,openalex_only,OpenAlex,Characterisation of infill strategies in WAAM for solid components fabricated with ER100S-G wire,2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-026-17780-9,https://doi.org/10.1007/s00170-026-17780-9,,7
105,curated,crossref_only,Crossref,Challenges in Implementing Digital Twin Solutions in Manufacturing,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-6,https://doi.org/10.1201/9781003504825-6,,7
106,curated,crossref_only,Crossref,Carbon Footprint Reduction Strategies Using Digital Twin Integration Strategy,2026,Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,10.1201/9781003504825-5,https://doi.org/10.1201/9781003504825-5,,7
107,curated,openalex_only,OpenAlex,Camera based in situ layer segmentation and object reconstruction for digital twins in FFF 3D printing,2026,Journal of Intelligent Manufacturing,10.1007/s10845-026-02899-z,https://doi.org/10.1007/s10845-026-02899-z,,7
108,curated,both_openalex_crossref,Crossref; OpenAlex,"Bridging Model-Based Systems Engineering, Digital Twins, and Cyber-Physical Manufacturing Systems: A Foundational Framework for Operational Excellence",2026,International Multidisciplinary Journal of Emerging Technologies and Applications,10.67294/w1jdxb80,https://doi.org/10.67294/w1jdxb80,,7
109,curated,openalex_only,OpenAlex,Binary Thermal Regime Transition Driven by Bead Morphology in Metal Fused Filament Fabrication: Bead-Resolved Digital Twin Analysis,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.19140718,https://doi.org/10.5281/zenodo.19140718,,7
110,curated,crossref_only,Crossref,Automated extraction of comprehensive digital twin models for smart manufacturing systems,2026,Journal of Manufacturing Systems,10.1016/j.jmsy.2026.01.012,https://doi.org/10.1016/j.jmsy.2026.01.012,,7
111,curated,crossref_only,Crossref,Artificial intelligence augmented digital twin for improving the machinability in a robotic carbon fiber reinforced plastics machining process,2026,Journal of Intelligent Manufacturing,10.1007/s10845-025-02642-0,https://doi.org/10.1007/s10845-025-02642-0,,7
112,curated,openalex_only,OpenAlex,Applications of Artificial Intelligence and Machine Learning Techniques in AM of Advanced Materials and Customized Components,2026,Additive manufacturing,10.1201/9781003544937-10,https://doi.org/10.1201/9781003544937-10,,7
113,curated,crossref_only,Crossref,Application of Digital Twin and 3D-Printing,2026,The Essential Guide to Public Procurement,10.4324/9781003566670-26,https://doi.org/10.4324/9781003566670-26,,7
114,curated,both_openalex_crossref,Crossref; OpenAlex,An Integrated Review of Mechanical Property Modelling from Microstructure-Based Theories to Additive Manufacturing and CAE,2026,Metal Additive Manufacturing,10.1201/9781003731559-20,https://doi.org/10.1201/9781003731559-20,,7
115,curated,openalex_only,OpenAlex,Advancing Scoliosis Treatment with Patient-Specific Functionally Graded NiTi-SMA Rods: Key Considerations and Development Objectives,2026,Bioengineering,10.3390/bioengineering13020216,https://doi.org/10.3390/bioengineering13020216,,7
116,curated,openalex_only,OpenAlex,"Advances in 3D Bioprinting: Materials, Processes, and Emerging Applications",2026,Micromachines,10.3390/mi17030282,https://doi.org/10.3390/mi17030282,,7
117,curated,openalex_only,OpenAlex,Advances and Challenges in Personalized Socket Design: A Review of Pho-togrammetry and Additive Manufacturing Techniques for Lower-Limb Prosthetics,2026,Nusantara Science and Technology Proceedings,10.11594/nstp.2026.5498,https://doi.org/10.11594/nstp.2026.5498,,7
118,curated,openalex_only,OpenAlex,Advanced micro-/nano additive manufacturing of multi-materials,2026,Nano Research,10.26599/nr.2026.94908451,https://doi.org/10.26599/nr.2026.94908451,,7
119,curated,openalex_only,OpenAlex,Advanced RF cavity manufacturing using multi-material laser powder bed fusion,2026,The European Physical Journal Special Topics,10.1140/epjs/s11734-026-02294-y,https://doi.org/10.1140/epjs/s11734-026-02294-y,,7
120,curated,openalex_only,OpenAlex,Additive manufacturing of metallic heterostructured materials: from 1D to 4D,2026,Materials Research Letters,10.1080/21663831.2026.2680191,https://doi.org/10.1080/21663831.2026.2680191,,7
121,curated,both_openalex_crossref,Crossref; OpenAlex,"Additive manufacturing of functionally graded materials: Advances, challenges, and strategies for processing and performance optimization",2026,Next Materials,10.1016/j.nxmate.2026.102285,https://doi.org/10.1016/j.nxmate.2026.102285,,7
122,curated,openalex_only,OpenAlex,Additive manufacturing for structuring stimuli-responsive materials,2026,MRS Communications,10.1557/s43579-026-00919-w,https://doi.org/10.1557/s43579-026-00919-w,,7
