venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,crossref_lookup_status,crossref_match_title,crossref_match_issn,crossref_match_publisher,crossref_total_dois,crossref_lookup_note,example_titles
Epilepsy & Behavior,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Digital twins. The future of personalized epilepsy care
Espace École de technologie supérieure (École de technologie supérieure),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Intelligent framework for radio resource management for future heterogeneous wireless networks
European Journal of AI Computing & Informatics,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Decision-Making in Industry 4.0: A Layered Framework for Converting Cyber-Physical Information into Governed Action
European Synchrotron Radiation Facility,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Quantifying the microstructure of 4D printed materials for soft robotics
Frattura ed Integrità Strutturale,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Experimental calibration of a virtual raster section for high-accuracy FDM simulation in Abaqus
FreiDok plus (Universitätsbibliothek Freiburg),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Development of novel materials and fabrication methods for surfaces with wettability patterns
Gongneng cailiao yu qijian xuebao,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Research progress on superelastic materials
Green Technology & Innovation,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"From Optimization to Stability Preservation: A Self-Healing, Action-Bearing Digital Twin for Climate-Stressed Building Energy Systems"
IFIP advances in information and communication technology,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Extending ISO 23247: A Production Logistics Information Model for Integrated Digital Twins
Infoscience (Ecole Polytechnique Fédérale de Lausanne),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,3D printing assisted by upconversion nanoparticles
Institutional Repositories DataBase (IRDB),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"Polymeric soft materials with molecular recognition: From static binding to dynamic functions in gels, particles, and interfaces"
International Journal of Coal Science & Technology,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Evolution of visualisation and digital twin technologies in mining
International Journal of Innovative Research in Engineering & Multidisciplinary Physical Sciences,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Matter - AI A Multimodal AI Framework for Accelerated Materials Discovery in Physical Sciences
International Journal of Research in Pharmacology & Pharmacotherapeutics,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Multiprocess Approaches for Increasing Component Functionality in 3D Printing
Iowa Research Online (The University of Iowa),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Hyperbranched prepolymer additives and in situ NMR to improve material properties and methods for monitoring reaction kinetics in photopolymer systems
Iris (Roma Tre University),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Research and development of design tools and methods for Additive Manufacturing: virtual prototyping and artificial intelligence
Izvestiâ ÛFU. Tehničeskie nauki,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,ANALYSIS OF THE EFFECTIVENESS OF TRADITIONAL AND MODERNTECHNOLOGIES FOR MONITORING POWER TRANSMISSION LINES
J — Multidisciplinary Scientific Journal,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"CsPbI3 Perovskites at the Edge of Commercialization: Persistent Barriers, Multidisciplinary Solutions, and the Emerging Role of AI"
Journal of Advanced Research in Manufacturing Material Science & Metallurgical Engineering,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Time-Responsive Manufacturing: An Extensive Review of 4DP Applications in IoT and Mechatronic Systems
Journal of materials research/Pratt's guide to venture capital sources,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Architected Materials for Soft Robotics
Journal of Sandwich Structures & Materials,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Enhanced mechanical performance of 3D-printed PLA and carbon-fiber reinforced PLA sandwich structures via Taguchi-based process optimization
Journal of Sustainable Engineering & Green Technologies,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,TRANSFORMING MOLD MANUFACTURING: A REVIEW OF ADDITIVE MANUFACTURING IN METALLIC AND COMPOSITE TOOLING
Journal of the mechanical behavior of biomedical materials/Journal of mechanical behavior of biomedical materials,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,"3D-printed CF-PLA bone plates with metamaterial structures: Design, fabrication, and mechanical evaluation"
Lancaster EPrints (Lancaster University),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Unsecurities Lab participant report : 31st March at Goldsmiths University
Laser & Photonics Review,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Hydrogen‐Sensitive Inks with 4D Printing of a Fiber‐Tip Hydrogen Microsensor
Lecture notes in computational science and engineering,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Digital Twin Inference from Multi-physical Simulation Data of DED Additive Manufacturing Processes with Neural ODEs
Lecture notes in mechanical engineering,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Committee II.2: Dynamic Response
"Library, Museums and Press - UDSpace (University of Delaware)",1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Additive manufacturing of electromagnetic multifunctional composites
Light Science & Applications,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,High-efficiency multi-scale holographic volumetric 3D printing with a phase light modulator
OpenBU (Boston University),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Multiscale heterogeneous polymer composites and soft synthetic fascia for 4D printed electrically controllable multifunctional structures with high stiffness and toughness
Organic Process Research & Development,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Breaking the Boundaries of Bayesian Optimization Utilizing Continuous Chemistry Digital Twins
OSF Preprints (OSF Preprints),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Digital Twins in Remote and Virtual Healthcare: A Scoping Review
OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Fundamental Path Optimization Strategies for Extrusion-Based Additive Manufacturing
PureMUL,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Integration of Optical 3D Measurement Technology into a Cyber-Physical Production System for Wire Arc Additive Manufacturing
reposiTUm (TU Wien),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Process Simulation for Laser-Assisted Additive Manufacturing
Research Explorer (The University of Manchester),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Residual stress prediction by element birth within a digital twin of a wire arc additive manufacturing cell
SAE technical papers on CD-ROM/SAE technical paper series,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Mechanism and Experimental Investigation of Variable Stiffness in Soft Actuators Based on Particles Jamming
Scholarly Commons (Embry–Riddle Aeronautical University),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Threat-Analysis Oriented Digital Twinning of ML-Powered Future Autonomous Weapon Systems
"Science, Engineering & Education.",1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Strategies and Methods for Recreating the Operating Behavior of a Technological Object Through Virtual Prototyping Based on an Optimized Initial Design
Scientific periodicals of Ukraine,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Чисельне моделювання та цифрові двійники в адитивному виробництві з використанням дугового наплавлення (WAAM)
SHAREOK (University of Oklahoma),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,DESIGN AND RAPID PROTOTYPING FOR COST-EFFECTIVE SLAM-BASED SEMI-AUTONOMOUS GROUND VEHICLES
SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,4D printing of LCE composites for enhanced damping
Shipping & Navigation,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"Seaport automation: technological solutions, systemic challenges and regional specifics of implementation"
Software & Systems Modeling,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"Model-based digital twin engineering: insights, challenges, and future directions"
Sustainable polymer & energy,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Sustainable Additive Manufacturing of Polymer Composites for Advanced Water Treatment: A Review
Theseus (Ammattikorkeakoulujen),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Modelling a digital twin of KUKA Robot : for LUT hitsaustekniikka laboratory using KUKA.Sim 4.10
Trepo - Institutional Repository of Tampere University,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Development of Stretchable Antenna using Laser-induced Graphene (LIG) for Wearable Devices
Universidad Industrial de Santander,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Study of a proposed cellular structure for a metamaterial configuration resistant to torsional effects in a power transmission shaft manufactured by layer-by-layer additive manufacturing
UPCommons institutional repository (Universitat Politècnica de Catalunya),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,ML-driven unity/WebGL digital twin with RGB sensing for bioleaching process control
UPM Digital Archive (Technical University of Madrid),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,4D printed Nitinol metamaterials: from algorithmic design of textile-based soft-stiff architectures towards next generation medical implants
"Vestnik Nacionalʹnogo tehničeskogo universiteta ""HPI"". Tehnologii v mašinostroenii/Vìsnik Nacìonalʹnogo tehnìčnogo unìversitetu HPÌ. Serìâ: Tehnologìï v mašinobuduvannì",1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,TECHNOLOGICAL SUPPORT FOR THE RESTORATION OF PARTS USING REVERSE ENGINEERING
Washington State University Dissertation,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,3D Printing of Soft Composites with Tunable Visco-Hyperelastic Properties
"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"Book of Abstracts: Past, Present and Future of Particle Technology Conference 2026"
Zaguan (Universidad de Zaragoza),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Digital printing of light-driven liquid crystal elastomers toward bioinspired functions and biomedical devices
Zhongguo kexue. Wulixue Lixue Tianwenxue,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Challenges of digital twin applications for radio telescopes
Science,5,5,4,1,OpenAlex,possible_crossref_journal_match,ScienceAsia,1513-1874,Science Society of Thailand,2629,,Lithographic crystallinity regulation in additive fabrication of thermoplastics (CRAFT) | Magnetic modulation of keyhole instability during laser welding and additive manufacturing | Circular 3D printing of high-performance photopolymers through dissociative network design
AI,1,1,0,1,OpenAlex,possible_crossref_journal_match,Journal of Airline and Airport Management,2014-4865; 2014-4806,Omnia Publisher SL,77,,Automation of the Control Process of the Research and Flexible Production Areas of the Technopark
Computer,1,1,1,0,OpenAlex,possible_crossref_journal_match,Computerised Manufacturing,0269-8536,Institution of Engineering and Technology (IET),141,,"InterwovenXR: A Cyber–Physical–Social Testbed System for Robotics, Digital Twins, and Hyperautomation"
Open MIND,12,12,9,3,OpenAlex,exact_crossref_journal_match,Open Mind,2470-2986,MIT Press,295,,3D-printed Soft Optical sensor with a Lens (SOLen) for light guidance in mechanosensing | Systematic Analysis of Penalty-Optimised Illumination Design for Tomographic Volumetric Additive Manufacturing via the Extendable Framework TVAM AID Using the Core Imaging Library | EPFL-LAPD/Overprinting-with-Tomographic-Volumetric-Additive-Manufacturing: publication
Biomimetics,8,8,4,4,OpenAlex,exact_crossref_journal_match,Biomimetics,2313-7673,MDPI AG,3222,,Teaching Bioinspired Design for Assistive Technologies Using Additive Manufacturing: A Collaborative Experience | Biomimetic Additive Manufacturing: Engineering Complexity Inspired by Nature’s Simplicity | Smart Multi-Responsive Biomaterials and Their Applications for 4D Bioprinting
Sensors,7,7,3,4,OpenAlex,exact_crossref_journal_match,Sensors,1424-8220,MDPI AG,78573,,Printed Piezoelectric Materials: From Functional Inks to High-Performance Transducers | Next-Generation Biomedical Microwave Antennas: Metamaterial Design and Advanced Printing Manufacturing Techniques | A Case Study on DNN-Based Surface Roughness QA Analysis of Hollow Metal AM Fabricated Parts in a DT-Enabled CW-GTAW Robotic Manufacturing Cell
ACS Applied Polymer Materials,5,5,5,0,OpenAlex,exact_crossref_journal_match,ACS Applied Polymer Materials,2637-6105; 2637-6105,American Chemical Society,7628,,The Influence of Vat Photopolymerization Processing Parameters on Semicrystalline Morphology | Crystallizable Surfactant-Based Interfacial Layers for Stabilizing Nonaqueous Photocurable Foams | Multimaterial Digital Light Processing Three-Dimensional Printing of Materials with Different Relaxation Kinetics
ACS Polymers Au,4,4,4,0,OpenAlex,exact_crossref_journal_match,ACS Polymers Au,2694-2453; 2694-2453,American Chemical Society,375,,Limonene as a Renewable Platform Molecule: Chemical Modifications and Polymerization Strategies toward Advanced Materials | Metal Oxide-Functionalized Photopolymers: A Perspective in 3D Printing | RAFT-Mediated 3D Printing of Polylactones/Itaconate Elastomers with Polypeptide Surface Functionalization
Nano-Micro Letters,4,4,4,0,OpenAlex,exact_crossref_journal_match,Nano-Micro Letters,2311-6706; 2150-5551,Springer-Verlag,2547,,Rational Design and Functionalization of Melt Electrowritten 4D Scaffolds for Biomedical Applications | Microscale Architectures for Intelligent Soft Robotics: From Functional Microneedles to Biointegrated Wearable Systems | MXene-Assembled Liquid Metal Hybrid Microparticles for Multifunctional and Stretchable Printed Electronics
Sustainability,4,4,0,4,OpenAlex,exact_crossref_journal_match,Sustainability,2071-1050,MDPI AG,105718,,Sustainable Manufacturing: Enabling Technologies and Emerging Research Trends—A Scoping Review | Can Digital Twin Technology Enhance Supply-Chain Resilience? A Systematic Literature Review | AI-Driven Digital Twins in Sustainable Manufacturing: A Critical Review
Bioengineering,3,3,2,1,OpenAlex,exact_crossref_journal_match,Bioengineering,2306-5354,MDPI AG,6409,,Mechatronic Design and Development of a Lower-Limb Exoskeleton System Based on Knee Joint Biomechanical Principles Using Electro-Pneumatic Actuation with an Embedded EMG Controller for Experimental Validation in Elderly Gait Rehabilitation Support | Advancing Scoliosis Treatment with Patient-Specific Functionally Graded NiTi-SMA Rods: Key Considerations and Development Objectives | Lab-on-a-Chip and Microfluidics Technologies for Nano Drug Delivery
Communications Materials,3,3,1,2,OpenAlex,exact_crossref_journal_match,Communications Materials,2662-4443,Springer Science and Business Media LLC,1215,,MXene-based stimuli-responsive and autonomous intelligent materials | Machine learning-guided optimization of atomic layer deposition process | Curvature tuning through defect-based 4D printing
Exploring Science Academic Conference Series,3,3,1,2,OpenAlex,exact_crossref_journal_match,Exploring Science Academic Conference Series,3105-0514; 3105-0522,Zeus Press,239,,AI-Enabled Design and Additive Manufacturing of Mechanical Materials: Methods and Future Directions | The Impact of Digital Transformation on Supply Chain Efficiency: A Case Study of JD Logistics | AI-Assisted 3D Modeling and Engineering Optimization of Artistic Mechanical Parts for TWS Earbud Charging Cases
International Journal for Research in Applied Science and Engineering Technology,3,3,3,0,OpenAlex,exact_crossref_journal_match,International Journal for Research in Applied Science and Engineering Technology,2321-9653,International Journal for Research in Applied Science and Engineering Technology (IJRASET),40225,,"A Review on Mechanical and Process Characteristics of PETG and ASA Materials in FDM 3D Printing | Robotics Arm based 3D Food Printing: Design, Challenges, and Feasibility for Culinary Automation | Why CAD/CAM Software Is Essential in Industrial 3D Printing and Additive Manufacturing"
International Journal of Drug Delivery Technology,3,3,1,2,OpenAlex,exact_crossref_journal_match,International Journal of Drug Delivery Technology,0975-4415; 0975-4415,Dr. Yashwant Research Labs Pvt. Ltd.,8064,,"Pharmaceutical Industry 4.0: A Review of Advance Technology Shaping Drug Development and Manufacturing | Semiconductor Optimization: A Comprehensive Study of Automation, Fabrication Process Control, Defect Detection, Enhancement, and Sustainable Smart Manufacturing | 4D Printing in Regenerative Medicine and Smart Wound Healing: StimuliResponsive Materials for Next-Generation Biomedical Devices"
Journal of Applied Polymer Science,3,3,2,1,OpenAlex,exact_crossref_journal_match,Journal of Applied Polymer Science,0021-8995; 1097-4628,Wiley (John Wiley & Sons),67947,,Toward Sustainable Biodegradable Composites Through Thermal Management: <scp>3D</scp> Printing‐Assisted Lamination of Poly(Lactic Acid) With Polypropylene as an Alternative to Conventional Blending | <scp>4D</scp> Printing of Composite Thermoplastic Elastomers for Super‐Stretchable Soft Artificial Muscles | Development of Near Infrared Light and Electrically Responsive Shape Memory Polymer Composites Based on Copolyester Thermoplastic Elastomer/Polycaprolactone Blend and Carbon Nanotubes
Macromolecules,3,3,3,0,OpenAlex,exact_crossref_journal_match,Macromolecules,0024-9297; 1520-5835,American Chemical Society,52155,,Real-Time Polarized Photo-Rheo-IR Investigation of Shear-Induced Alignment in Liquid Crystal Elastomers | Polycaprolactone–Itaconic Acid Resins for Additive Manufacturing of Environmentally Degradable 3D and 4D Materials by Thiol-ene Photopolymerization | Dexter Energy Transfer-Enabled Biobased Oxime Ester-Photosensitizer System for Rapid Visible-Light/Sunlight-Induced Photocuring and 3D Printing
Molecules,3,3,3,0,OpenAlex,exact_crossref_journal_match,Molecules,1420-3049; 1420-3049,MDPI AG,64474,,"Initial Study of Feedstock Material Compositions for 3D Printing of Hybrid Metal–Polymer Components via Electrodeposition and Photopolymerization in an Electroplating Bath Environment | Three-Dimensional Printable Photocurable Elastomer Composed of Hydroxyethyl Acrylate and Hydroxy Fatty Acid Derived from Waste Cooking Oil: An Innovative Strategy for Sustainable, Highly Flexible Resin Development | Polymer Composites in 3D/4D Printing: Materials, Advances, and Prospects"
Nature,3,3,3,0,OpenAlex,exact_crossref_journal_match,Nature,0028-0836; 1476-4687,Springer Science and Business Media LLC,446174,,"Adaptive and context-aware volumetric printing | Dynamic interface printing | A renewably sourced, circular photopolymer resin for additive manufacturing"
Proceedings of the National Academy of Sciences,3,3,3,0,OpenAlex,exact_crossref_journal_match,Proceedings of the National Academy of Sciences,0027-8424; 1091-6490,Proceedings of the National Academy of Sciences,170469,,Rotational 3D printing of active–passive filaments and lattices with programmable shape morphing | Entanglement-driven responses through multiscale 3D-printed knits | Spatially programmed alignment and actuation in printed liquid crystal elastomers
Sustainable materials and technologies,3,3,3,0,OpenAlex,exact_crossref_journal_match,Sustainable Materials and Technologies,2214-9937,Elsevier,2086,,A Spirulina-derived pigment extract combining phycocyanin and chlorophyll for optically responsive photopolymer architectures | Strategies for recycling multi-material polymer blends for additive manufacturing | 4D printing of natural materials: A review
