venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,openalex_lookup_status,openalex_match_display_name,openalex_match_id,openalex_match_issn_l,openalex_match_issn,openalex_match_host_organization,openalex_works_count,openalex_lookup_similarity,openalex_lookup_note
SpringerBriefs in Energy,7,7,0,7,Crossref,exact_openalex_source_match,SpringerBriefs in energy,https://openalex.org/S4210240135,2191-5520,2191-5520; 2191-5539,Springer Nature,850,1.000,normalized venue title exactly matched an OpenAlex source display_name
Artificial Intelligence‐Enabled Digital Twin for Smart Manufacturing,6,6,6,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twin and Blockchain for Sensor Networks in Smart Cities,6,6,0,6,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Driving Innovation through AI and Digital Twin for 6G Powered Sustainable Ultra Smart Cities,6,6,0,6,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Lecture Notes in Mechanical Engineering,6,6,0,6,Crossref,exact_openalex_source_match,Lecture notes in mechanical engineering,https://openalex.org/S4210184193,2195-4356,2195-4356; 2195-4364,Springer Nature,38787,1.000,normalized venue title exactly matched an OpenAlex source display_name
Materials Research Proceedings,6,6,1,5,Crossref,exact_openalex_source_match,Materials research proceedings,https://openalex.org/S4210218293,2474-3941,2474-3941; 2474-395X,,3896,1.000,normalized venue title exactly matched an OpenAlex source display_name
AIP Conference Proceedings,5,5,0,5,Crossref,exact_openalex_source_match,AIP conference proceedings,https://openalex.org/S2764696622,0094-243X,0094-243X; 1551-7616; 1935-0465,American Institute of Physics,280239,1.000,normalized venue title exactly matched an OpenAlex source display_name
Blockchain and Digital Twin for Smart Hospitals,5,5,0,5,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Ceramics International,5,5,3,2,Crossref,exact_openalex_source_match,Ceramics International,https://openalex.org/S106928643,0272-8842,0272-8842; 1873-3956,Elsevier BV,55694,1.000,normalized venue title exactly matched an OpenAlex source display_name
CIRP Journal of Manufacturing Science and Technology,5,5,0,5,Crossref,exact_openalex_source_match,CIRP journal of manufacturing science and technology,https://openalex.org/S134482011,1755-5817,1755-5817; 1878-0016,Elsevier BV,1580,1.000,normalized venue title exactly matched an OpenAlex source display_name
Digital Twin and Blockchain for Smart Cities,5,5,0,5,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Human-Centric Smart Manufacturing Towards Industry 5.0,5,5,1,4,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Proceedings of the 2025 International Conference on Artificial Intelligence and Smart Manufacturing,5,5,0,5,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Composites Part B: Engineering,4,4,0,4,Crossref,exact_openalex_source_match,Composites Part B Engineering,https://openalex.org/S112674977,1359-8368,1359-8368; 1879-1069,Elsevier BV,13494,1.000,normalized venue title exactly matched an OpenAlex source display_name
Digital Twins in Industrial Production and Smart Manufacturing,4,4,0,4,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Journal of Materials Engineering and Performance,4,4,0,4,Crossref,exact_openalex_source_match,Journal of Materials Engineering and Performance,https://openalex.org/S70681891,1059-9495,1059-9495; 1544-1024,Springer Science+Business Media,16925,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of Mechanical Engineering,4,4,0,4,Crossref,exact_openalex_source_match,Journal of Mechanical Engineering,https://openalex.org/S4210240396,0577-6686,0577-6686,,15241,1.000,normalized venue title exactly matched an OpenAlex source display_name
Optics Express,4,4,4,0,Crossref,exact_openalex_source_match,Optics Express,https://openalex.org/S178776955,1094-4087,1094-4087,Optica Publishing Group,67375,1.000,normalized venue title exactly matched an OpenAlex source display_name
Polymer,4,4,1,3,Crossref,exact_openalex_source_match,Polymer,https://openalex.org/S186054908,0032-3861,0032-3861; 1873-2291,Elsevier BV,41582,1.000,normalized venue title exactly matched an OpenAlex source display_name
Volume 2: Advanced Manufacturing,4,4,2,2,Crossref,no_openalex_source_match,"Volume 2: Mechatronics; Mechatronics and Controls in Advanced Manufacturing; Modeling and Control of Automotive Systems and Combustion Engines; Modeling and Validation; Motion and Vibration Control Applications; Multi-Agent and Networked Systems; Path Planning and Motion Control; Robot Manipulators; Sensors and Actuators; Tracking Control Systems; Uncertain Systems and Robustness; Unmanned, Ground and Surface Robotics; Vehicle Dynamic Controls; Vehicle Dynamics and Traffic Control",https://openalex.org/S4306534495,,,,109,0.124,no close OpenAlex source display_name found in top 5 search results
2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D Printing Technologies,3,3,0,3,Crossref,no_openalex_source_match,International Journal of 3D Printing Technologies and Digital Industry,https://openalex.org/S4210214343,2602-3350,2602-3350,,350,0.511,no close OpenAlex source display_name found in top 5 search results
4D Printing of Foods,3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Advances in 3D and 4D Printing of Medical Robots and Devices,3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Blockchain and Digital Twin Applications in Smart Agriculture,3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Blockchain and Digital Twin for Smart Healthcare,3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Comprehensive Materials Processing,3,3,0,3,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Materials Science and Engineering: A,3,3,1,2,Crossref,exact_openalex_source_match,Materials Science and Engineering A,https://openalex.org/S154732359,0921-5093,0921-5093; 1873-4936,Elsevier BV,45838,1.000,normalized venue title exactly matched an OpenAlex source display_name
Materials Today: Proceedings,3,3,0,3,Crossref,exact_openalex_source_match,Materials Today Proceedings,https://openalex.org/S2898407351,2214-7853,2214-7853,Elsevier BV,41643,1.000,normalized venue title exactly matched an OpenAlex source display_name
Research,3,3,0,3,Crossref,no_openalex_source_match,Brain Research,https://openalex.org/S96638545,0006-8993,0006-8993; 1872-6240,Elsevier BV,66607,0.727,no close OpenAlex source display_name found in top 5 search results
Responsive Materials,3,3,0,3,Crossref,exact_openalex_source_match,Responsive materials,https://openalex.org/S4393919739,2834-894X,2834-894X; 2834-8966,,149,1.000,normalized venue title exactly matched an OpenAlex source display_name
2024 Winter Simulation Conference (WSC),2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 IEEE 9th International Conference on Soft Robotics (RoboSoft),2,2,1,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D Printing and Digital Twins in Smart Agriculture,2,2,1,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
ACS Applied Materials & Interfaces,2,2,1,1,Crossref,exact_openalex_source_match,ACS Applied Materials & Interfaces,https://openalex.org/S164001016,1944-8244,1944-8244; 1944-8252,American Chemical Society,69379,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advanced Materials & Sustainable Manufacturing,2,2,0,2,Crossref,exact_openalex_source_match,Advanced Materials & Sustainable Manufacturing,https://openalex.org/S5407043145,3006-2810,3006-2810; 3006-2829,,40,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advances in Computational Intelligence and Robotics,2,2,0,2,Crossref,possible_openalex_source_match,Advances in computational intelligence and robotics book series,https://openalex.org/S4210180746,2327-0411,2327-0411; 2327-042X,IGI Global,11310,0.895,best title similarity 0.89; inspect manually
Advances in Engineering Software,2,2,0,2,Crossref,exact_openalex_source_match,Advances in Engineering Software,https://openalex.org/S16540516,0965-9978,0965-9978; 1873-5339,Elsevier BV,4265,1.000,normalized venue title exactly matched an OpenAlex source display_name
AIJR Proceedings,2,2,1,1,Crossref,exact_openalex_source_match,AIJR Proceedings,https://openalex.org/S4210240747,2582-3922,2582-3922,,1031,1.000,normalized venue title exactly matched an OpenAlex source display_name
Angewandte Chemie,2,2,0,2,Crossref,exact_openalex_source_match,Angewandte Chemie,https://openalex.org/S4210200754,0044-8249,0044-8249; 1521-3757,Wiley,141736,1.000,normalized venue title exactly matched an OpenAlex source display_name
Angewandte Chemie International Edition,2,2,0,2,Crossref,exact_openalex_source_match,Angewandte Chemie International Edition,https://openalex.org/S67393510,1433-7851,1433-7851; 1521-3773,Wiley,81115,1.000,normalized venue title exactly matched an OpenAlex source display_name
Composite Structures,2,2,1,1,Crossref,exact_openalex_source_match,Composite Structures,https://openalex.org/S52363224,0263-8223,0263-8223; 1879-1085,Elsevier BV,19827,1.000,normalized venue title exactly matched an OpenAlex source display_name
Composites Part C: Open Access,2,2,1,1,Crossref,exact_openalex_source_match,Composites Part C Open Access,https://openalex.org/S4210186814,2666-6820,2666-6820,Elsevier BV,737,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computers,2,2,1,1,Crossref,no_openalex_source_match,Computers & Education,https://openalex.org/S4210172634,0360-1315,0360-1315; 1873-782X,Elsevier BV,6161,0.562,no close OpenAlex source display_name found in top 5 search results
Cyber Physical System 2.0,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twin Applications and Cognitive Enterprise Transformation Across Industries,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twinning for Discrete Manufacturing,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
eCAADe proceedings,2,2,1,1,Crossref,exact_openalex_source_match,eCAADe proceedings,https://openalex.org/S4393919075,2684-1843,2684-1843,,4089,1.000,normalized venue title exactly matched an OpenAlex source display_name
Emerging Trends in Manufacturing Technologies,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Engineering Materials,2,2,0,2,Crossref,possible_openalex_source_match,Key engineering materials,https://openalex.org/S75411654,1013-9826,1013-9826; 1662-9795; 1662-9809,Trans Tech Publications,65040,0.913,best title similarity 0.91; inspect manually
Expert Opinion on Drug Delivery,2,2,0,2,Crossref,exact_openalex_source_match,Expert Opinion on Drug Delivery,https://openalex.org/S51663496,1742-5247,1742-5247; 1744-7593,Taylor & Francis,2531,1.000,normalized venue title exactly matched an OpenAlex source display_name
Expert Systems with Applications,2,2,0,2,Crossref,exact_openalex_source_match,Expert Systems with Applications,https://openalex.org/S13144211,0957-4174,0957-4174; 1873-6793,Elsevier BV,31273,1.000,normalized venue title exactly matched an OpenAlex source display_name
Handbook of Liquid Metals,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
IEEE Transactions on Automation Science and Engineering,2,2,0,2,Crossref,exact_openalex_source_match,IEEE Transactions on Automation Science and Engineering,https://openalex.org/S34881539,1545-5955,1545-5955; 1558-3783,Institute of Electrical and Electronics Engineers,6381,1.000,normalized venue title exactly matched an OpenAlex source display_name
IET Conference Proceedings,2,2,0,2,Crossref,exact_openalex_source_match,IET conference proceedings.,https://openalex.org/S4404663355,2732-4494,2732-4494,Institution of Engineering and Technology,18802,1.000,normalized venue title exactly matched an OpenAlex source display_name
IFAC-PapersOnLine,2,2,0,2,Crossref,exact_openalex_source_match,IFAC-PapersOnLine,https://openalex.org/S2898405271,2405-8963,2405-8963; 2405-8971,Elsevier BV,29399,1.000,normalized venue title exactly matched an OpenAlex source display_name
Industrial Engineering and Management,2,2,0,2,Crossref,exact_openalex_source_match,Industrial Engineering and Management,https://openalex.org/S2764357252,,,Hilaris,1961,1.000,normalized venue title exactly matched an OpenAlex source display_name
"Industry 4.0, Smart Manufacturing, and Industrial Engineering",2,2,2,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Innovative Food Science & Emerging Technologies,2,2,1,1,Crossref,exact_openalex_source_match,Innovative Food Science & Emerging Technologies,https://openalex.org/S130676932,1466-8564,1466-8564; 1878-5522,Elsevier BV,4298,1.000,normalized venue title exactly matched an OpenAlex source display_name
Intelligent Manufacturing and Industry 4.0,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
International Journal of 3D Printing Technologies and Digital Industry,2,2,2,0,Crossref,exact_openalex_source_match,International Journal of 3D Printing Technologies and Digital Industry,https://openalex.org/S4210214343,2602-3350,2602-3350,,350,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Biological Macromolecules,2,2,1,1,Crossref,exact_openalex_source_match,International Journal of Biological Macromolecules,https://openalex.org/S83853393,0141-8130,0141-8130; 1879-0003,Elsevier BV,51799,1.000,normalized venue title exactly matched an OpenAlex source display_name
JMST Advances,2,2,2,0,Crossref,exact_openalex_source_match,JMST Advances,https://openalex.org/S4210176154,2524-7905,2524-7905; 2524-7913,Springer Nature,129,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of Advanced Joining Processes,2,2,0,2,Crossref,exact_openalex_source_match,Journal of Advanced Joining Processes,https://openalex.org/S4210200780,2666-3309,2666-3309,Elsevier BV,403,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of Alloys and Compounds,2,2,0,2,Crossref,exact_openalex_source_match,Journal of Alloys and Compounds,https://openalex.org/S67716761,0925-8388,0925-8388; 1873-4669,Elsevier BV,92703,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of Engineering Design,2,2,0,2,Crossref,exact_openalex_source_match,Journal of Engineering Design,https://openalex.org/S2912548,0954-4828,0954-4828; 1466-1837,Taylor & Francis,2088,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of Materials Processing Technology,2,2,0,2,Crossref,exact_openalex_source_match,Journal of Materials Processing Technology,https://openalex.org/S127530304,0924-0136,0924-0136; 1873-4774,Elsevier BV,18654,1.000,normalized venue title exactly matched an OpenAlex source display_name
Journal of the American Ceramic Society,2,2,0,2,Crossref,exact_openalex_source_match,Journal of the American Ceramic Society,https://openalex.org/S53162366,0002-7820,0002-7820; 1551-2916,Wiley,36751,1.000,normalized venue title exactly matched an OpenAlex source display_name
Laser 3D Manufacturing XI,2,2,1,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Laser 3D Manufacturing XII,2,2,1,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Manufacturing Review,2,2,0,2,Crossref,exact_openalex_source_match,Manufacturing Review,https://openalex.org/S4210222728,2265-4224,2265-4224,EDP Sciences,334,1.000,normalized venue title exactly matched an OpenAlex source display_name
Materials and Manufacturing Processes,2,2,1,1,Crossref,exact_openalex_source_match,Materials and Manufacturing Processes,https://openalex.org/S166620827,1042-6914,1042-6914; 1532-2475,Taylor & Francis,5486,1.000,normalized venue title exactly matched an OpenAlex source display_name
Materials Science and Engineering: R: Reports,2,2,0,2,Crossref,exact_openalex_source_match,Materials Science and Engineering R Reports,https://openalex.org/S1018252914,0927-796X,0927-796X; 1879-212X,Elsevier BV,1087,1.000,normalized venue title exactly matched an OpenAlex source display_name
Nanotechnology Perceptions,2,2,0,2,Crossref,exact_openalex_source_match,Nanotechnology Perceptions,https://openalex.org/S104949663,1660-6795,1660-6795; 2235-2074,,2849,1.000,normalized venue title exactly matched an OpenAlex source display_name
Procedia Computer Science,2,2,1,1,Crossref,exact_openalex_source_match,Procedia Computer Science,https://openalex.org/S120348307,1877-0509,1877-0509,Elsevier BV,34103,1.000,normalized venue title exactly matched an OpenAlex source display_name
Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,2,2,1,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Proceedings of the International Conference on Industrial Engineering and Operations Management,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Science and Technology of Welding and Joining,2,2,0,2,Crossref,exact_openalex_source_match,Science and Technology of Welding & Joining,https://openalex.org/S140152165,1362-1718,1362-1718; 1743-2936,Maney Publishing,2443,1.000,normalized venue title exactly matched an OpenAlex source display_name
Springer Tracts in Additive Manufacturing,2,2,0,2,Crossref,exact_openalex_source_match,Springer tracts in additive manufacturing,https://openalex.org/S4210198807,2730-9576,2730-9576; 2730-9584,Springer International Publishing,345,1.000,normalized venue title exactly matched an OpenAlex source display_name
The International Conference on Computational & Experimental Engineering and Sciences,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
The Project Repository Journal,2,2,0,2,Crossref,exact_openalex_source_match,The Project Repository Journal,https://openalex.org/S4210235135,2632-4067,2632-4067,,332,1.000,normalized venue title exactly matched an OpenAlex source display_name
Volume 3: Advances in Thermal Technologies; Advances in Semiconductor Manufacturing; Clean Energy Technologies & Systems; Cyber Physical Systems + AI / ML,2,2,0,2,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"1st International Conference on Industrial, Manufacturing, and Process Engineering (ICIMP-2024)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 24th International Conference on Control, Automation and Systems (ICCAS)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 25th International Conference on Electronic Packaging Technology (ICEPT),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 29th International Conference on Automation and Computing (ICAC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 35th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 4th International Multidisciplinary Information Technology and Engineering Conference (IMITEC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 4th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 7th International Conference on Algorithms, Computing and Artificial Intelligence (ACAI)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 8th International Conference on Electrical, Mechanical and Computer Engineering (ICEMCE)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 Advances in Science and Engineering Technology International Conferences (ASET),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 AM Cross JOWOG - Albuquerque, New Mexico, United States of America - February - 2024",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 IEEE 22nd International Conference on Industrial Informatics (INDIN),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 IEEE 23rd International Conference on Micro and Miniature Power Systems, Self-Powered Sensors and Energy Autonomous Devices (PowerMEMS)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 IEEE 7th International Conference on Soft Robotics (RoboSoft),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 IEEE International Conference on Advanced Intelligent Mechatronics (AIM),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 IEEE International Conference on Robotics and Automation (ICRA),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 International Conference on AI x Data and Knowledge Engineering (AIxDKE),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 International Conference on Smart-Digital-Green Technologies and Artificial Intelligence Sciences (CSDGAIS),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 International Russian Smart Industry Conference (SmartIndustryCon),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 International Symposium on Flexible Automation,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 International Symposium on Semiconductor Manufacturing (ISSM),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2024 Sixth International Conference on Next Generation Data-driven Networks (NGDN),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2024 Symposium on Design, Test, Integration and Packaging of MEMS/MOEMS (DTIP)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 36th Annual SEMI Advanced Semiconductor Manufacturing Conference (ASMC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2025 6th International Conference on Communications, Information, Electronic and Energy Systems (CIEES)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 6th International Conference on Mechanical Automation and Intelligent Manufacturing (MAIM),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 9th International Conference on Mechanical Engineering and Robotics Research (ICMERR),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE 21st International Conference on Automation Science and Engineering (CASE),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE Additively Manufactured Electronic Systems (AMES),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE Engineering Reliable Autonomous Systems (ERAS),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE International Conference on Big Data (BigData),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE North-East India International Energy Conversion Conference and Exhibition (NE-IECCE),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE SENSORS,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 IEEE/ASME International Conference on Advanced Intelligent Mechatronics (AIM),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 International Conference on Computer and Applications (ICCA),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 Moratuwa Engineering Research Conference (MERCon),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 RIVF International Conference on Computing and Communication Technologies (RIVF),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2025 Third International Conference on Networks, Multimedia and Information Technology (NMITCON)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2025 Winter Simulation Conference (WSC),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"2025 XXX International Conference on Information, Communication and Automation Technologies (ICAT)",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 7th International Conference on Mechatronics Technology and Intelligent Manufacturing (ICMTIM),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 IEEE International Conference on Industrial Technology (ICIT),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 International Conference on Emerging Smart Computing and Informatics (ESCI),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
2026 International Conference on Intelligent Manufacturing and Automation (IMA),1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D and 4D Printing Polymer/Graphene Nanocomposites,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D Printed Optics and Additive Photonic Manufacturing IV,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D Printing,1,1,0,1,Crossref,no_openalex_source_match,3D Printing in Medicine,https://openalex.org/S4210191256,2365-6271,2365-6271,BioMed Central,371,0.647,no close OpenAlex source display_name found in top 5 search results
3D Printing with Light,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
3D/4D Printing of Bioadhesive Pharmaceutical Systems,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
