id,title,authors,year,venue,doi,url,source,metadata_source,crossref_type,crossref_collection_route,crossref_target_venue,crossref_target_issn,issn,issn_l,publisher,publication_type,venue_trust,venue_trust_reason,corresponding_authors,corresponding_author_available,corresponding_author_source,openalex_checked,openalex_used_for,openalex_crosscheck_work_id,is_core_venue,core_status,venue_scope,core_source,categories,tags,relevance_score,summary_provider,openai_summary_applied,abstract_used_for_summary,raw_abstract_displayed,pdf_stored,first_added,last_updated
10.36922/msam025510122,Development of a compact multi-material vat photopolymerization printing solution,"[""Wudith W. Niyagama"", ""S. Siddharth Kumar"", ""Tuomas Puttonen"", ""Jouni Partanen""]",2026,Materials Science in Additive Manufacturing,10.36922/msam025510122,https://doi.org/10.36922/msam025510122,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2810-9635""]",,AccScience Publishing,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7131791993,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Functionally Graded AM""]","[""photopolymerization"", ""additive manufacturing"", ""biomedical engineering""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.1089/3dp.2024.0033,Data-Driven Design Space Analysis for Multimaterial Thermoplastic Composites Manufactured by Fused Filament Fabrication,"[""Seda Oturak"", ""Melinda McKeehan"", ""Callie Zawaski"", ""Wesley F. Reinhart""]",2026,3D Printing and Additive Manufacturing,10.1089/3dp.2024.0033,https://doi.org/10.1089/3dp.2024.0033,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2329-7662"", ""2329-7670""]",,SAGE Publications,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Wesley F. Reinhart"", ""openalex_author_id"": ""https://openalex.org/A5035545283"", ""orcid"": ""https://orcid.org/0000-0001-7256-2123"", ""position"": ""last"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Pennsylvania State University"", ""ror"": ""https://ror.org/04p491231"", ""country_code"": ""US"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Department of Materials Science and Engineering, The Pennsylvania State University, University Park, Pennsylvania, USA"", ""Institute for Computational and Data Sciences, The Pennsylvania State University, University Park, Pennsylvania, USA""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W4405794858,True,core,core,manual_core_venue,"[""Multi-material AM"", ""Computational Design""]","[""additive manufacturing"", ""thermoplastic composites"", ""design space analysis""]",8,openai,True,True,False,False,2026-06-19,2026-06-28
10.1108/rpj-04-2025-0162,A systematic framework for the design & manufacturing of voxel-based multi-material thick folding origami,"[""Evelyn Thomas"", ""Jared Butler"", ""Nicholas Alexander Meisel""]",2026,Rapid Prototyping Journal,10.1108/rpj-04-2025-0162,https://doi.org/10.1108/rpj-04-2025-0162,"[""Crossref""]",crossref,journal-article,issn_venue_query,Rapid Prototyping Journal,1355-2546,"[""1355-2546"", ""1758-7670""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7125192404,True,core,core,manual_core_venue,"[""Functionally Graded AM"", ""Multi-material AM""]","[""Additive manufacturing""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
10.31891/2307-5732-2026-365-98,МЕЖІ КОМП’ЮТЕРНОГО ЗОРУ В КОНТРОЛІ ЯКОСТІ FDM/FFF ДРУКУ ТА АЛЬТЕРНАТИВНІ МЕТОДИ ДІАГНОСТИКИ,"[""ВАДИМ СУХОСТАВСЬКИЙ"", ""СВІТЛАНА ЛІСЕВИЧ""]",2026,Herald of Khmelnytskyi National University. Technical sciences,10.31891/2307-5732-2026-365-98,https://doi.org/10.31891/2307-5732-2026-365-98,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2307-5732""]",,Khmelnytskyi National University,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7162665079,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""Multi-material AM""]","[""computer vision"", ""3D printing"", ""quality control"", ""diagnostic methods""]",7,openai,True,True,False,False,2026-06-12,2026-06-28
10.1016/j.jmsy.2026.04.024,Welding robot digital twin and precision degradation prediction based on physics-informed neural networks,"[""Shijie Wang"", ""Jianfeng Tao"", ""ChengJin Qin"", ""Wei Chen"", ""Chengliang Liu""]",2026,Journal of Manufacturing Systems,10.1016/j.jmsy.2026.04.024,https://doi.org/10.1016/j.jmsy.2026.04.024,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""0278-6125""]",,Elsevier BV,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Jianfeng Tao"", ""openalex_author_id"": ""https://openalex.org/A5133797382"", ""orcid"": null, ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Shanghai Jiao Tong University"", ""ror"": ""https://ror.org/0220qvk04"", ""country_code"": ""CN"", ""type"": ""education""}, {""name"": ""China First Heavy Industries (China)"", ""ror"": ""https://ror.org/00p18a507"", ""country_code"": ""CN"", ""type"": ""company""}], ""raw_affiliation_strings"": [""Shanghai Zhenhua Heavy Industries Co. Ltd., Shanghai 201800, China"", ""State Key Laboratory of Mechanical Systems and Vibration, Shanghai Jiao Tong University, Shanghai 201100, China""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7154608148,True,core,core,manual_core_venue,"[""AI and Machine Learning for AM""]","[""Digital Twins""]",7,fallback,False,False,False,False,2026-06-22,2026-06-28
10.1016/j.nxmate.2026.102367,"WIRELY: An all-encompassing universal, scalable, corrective, digital twin for Additive Manufacturing systems","[""Charbel Beaini"", ""Wajih-Georges El Tayar"", ""Kayssar Mikhael"", ""Noel Maalouf""]",2026,Next Materials,10.1016/j.nxmate.2026.102367,https://doi.org/10.1016/j.nxmate.2026.102367,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2949-8228""]",,Elsevier BV,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Noel Maalouf"", ""openalex_author_id"": ""https://openalex.org/A5002792850"", ""orcid"": ""https://orcid.org/0000-0001-7536-4261"", ""position"": ""last"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Lebanese American University"", ""ror"": ""https://ror.org/00hqkan37"", ""country_code"": ""LB"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Department of Electrical and Computer Engineering, Lebanese American University, Blat, 4504, Byblos, Lebanon""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7162948913,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""AI and Machine Learning for AM""]","[""Digital Twin"", ""Additive Manufacturing"", ""Fused Deposition Modeling"", ""Industry 4.0"", ""Artificial Intelligence""]",7,openai,True,True,False,False,2026-06-12,2026-06-28
10.1002/adem.202501811,"Vat Photopolymerization Additive Manufacturing for Advanced Ceramics: Techniques, Multimaterial Strategies, and Applications","[""Shulei Xu"", ""Chuanzhen Huang"", ""Hanlian Liu"", ""Jun Huang""]",2026,Advanced Engineering Materials,10.1002/adem.202501811,https://doi.org/10.1002/adem.202501811,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""1438-1656"", ""1527-2648""]",,Wiley,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Chuanzhen Huang"", ""openalex_author_id"": ""https://openalex.org/A5124054570"", ""orcid"": null, ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Yanshan University"", ""ror"": ""https://ror.org/02txfnf15"", ""country_code"": ""CN"", ""type"": ""education""}], ""raw_affiliation_strings"": [""School of Mechanical Engineering Yanshan University  Qinhuangdao 066004 China""]}, {""name"": ""Hanlian Liu"", ""openalex_author_id"": null, ""orcid"": ""https://orcid.org/0000-0002-7533-0448"", ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Shandong University"", ""ror"": ""https://ror.org/0207yh398"", ""country_code"": ""CN"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Center for Advanced Jet Engineering Technologies (CaJET) Key Laboratory of High‐efficiency and Clean Mechanical Manufacture (Ministry of Education) National Experimental Teaching Demonstration Center for Mechanical Engineering (Shandong University) School of Mechanical Engineering Shandong University  Jinan 250061 China""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7125902812,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""Multi-material AM""]","[""VPP-AM"", ""advanced ceramics"", ""additive manufacturing"", ""manufacturing strategies""]",7,openai,True,True,False,False,2026-06-19,2026-06-28
10.3389/fmech.2026.1847187,Towards digital twin-based robotic additive manufacturing for wind turbine blade repair,"[""Bahman Nouri Rahmat Abadi"", ""Kaveh Rashvand"", ""Ali Sarhadi""]",2026,Frontiers in Mechanical Engineering,10.3389/fmech.2026.1847187,https://doi.org/10.3389/fmech.2026.1847187,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2297-3079""]",,Frontiers Media SA,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7162797269,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM""]","[""robotics"", ""additive manufacturing"", ""wind turbine repair"", ""digital twin"", ""hybrid manufacturing""]",7,openai,True,True,False,False,2026-06-12,2026-06-28
10.1108/rpj-06-2025-0257,Toward complete bead morphology prediction in wire-arc directed energy deposition via in-situ point cloud processing and deep learning,"[""Genghao Jiao"", ""Xuewei Fang"", ""Rui Cai"", ""Rui Hu"", ""Ke Huang""]",2026,Rapid Prototyping Journal,10.1108/rpj-06-2025-0257,https://doi.org/10.1108/rpj-06-2025-0257,"[""Crossref""]",crossref,journal-article,issn_venue_query,Rapid Prototyping Journal,1355-2546,"[""1355-2546"", ""1758-7670""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7127049682,True,core,core,manual_core_venue,"[""AI and Machine Learning for AM""]","[""Digital Twins"", ""Manufacturing automation"", ""Process optimization""]",7,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1007/s10845-025-02727-w,"To twin or not to twin, that is the question: evaluating the business justification for digital twins in legacy systems","[""Trevor Bean"", ""Radmehr Monfared"", ""Diana Segura-Velandia"", ""Lee Fuller""]",2026,Journal of Intelligent Manufacturing,10.1007/s10845-025-02727-w,https://doi.org/10.1007/s10845-025-02727-w,"[""Crossref""]",crossref,journal-article,issn_venue_query,Journal of Intelligent Manufacturing,0956-5515,"[""0956-5515"", ""1572-8145""]",,Springer Science and Business Media LLC,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Trevor R Bean"", ""openalex_author_id"": ""https://openalex.org/A5107610925"", ""orcid"": null, ""position"": ""first"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Loughborough University"", ""ror"": ""https://ror.org/04vg4w365"", ""country_code"": ""GB"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Electrical and Manufacturing Engineering, Wolfson School of Mechanical, Loughborough University, Epinal Way, Loughborough, Leicestershire, LE11 3TU, UK""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7126109560,True,core,core,manual_core_venue,"[""Reviews and Surveys""]","[""Digital Twins"", ""Process optimization""]",7,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1080/27525783.2026.2614885,The digital twin-enabled deformation prediction and control methodologies for thin-walled parts in intelligent manufacturing: a review,"[""Yufeng Wang"", ""Zhengcai Zhao"", ""Ning Qian"", ""Wenfeng Ding"", ""Honghua Su""]",2026,Digital Twin,10.1080/27525783.2026.2614885,https://doi.org/10.1080/27525783.2026.2614885,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2752-5783""]",,Informa UK Limited,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Zhengcai Zhao"", ""openalex_author_id"": ""https://openalex.org/A5123081356"", ""orcid"": null, ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Nanjing University of Aeronautics and Astronautics"", ""ror"": ""https://ror.org/01scyh794"", ""country_code"": ""CN"", ""type"": ""education""}], ""raw_affiliation_strings"": [""College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics"", ""National Key Laboratory of Science and Technology on Helicopter Transmission, Nanjing University of Aeronautics and Astronautics""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7124321223,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""Computational Design""]","[""digital twin"", ""deformation prediction"", ""thin-walled parts"", ""intelligent manufacturing"", ""hybrid modeling""]",7,openai,True,True,False,False,2026-06-12,2026-06-28
10.1002/adma.202518751,The Possibility of New Complex Magnet Materials,"[""G. Jeffrey Snyder""]",2026,Advanced Materials,10.1002/adma.202518751,https://doi.org/10.1002/adma.202518751,"[""Crossref""]",crossref,journal-article,issn_venue_query,Advanced Materials,0935-9648,"[""0935-9648"", ""1521-4095""]",,Wiley,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""G. Jeffrey Snyder"", ""openalex_author_id"": ""https://openalex.org/A5130659562"", ""orcid"": null, ""position"": ""first"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Northwestern University"", ""ror"": ""https://ror.org/000e0be47"", ""country_code"": ""US"", ""type"": ""education""}, {""name"": ""Defense Advanced Research Projects Agency"", ""ror"": ""https://ror.org/02caytj08"", ""country_code"": ""US"", ""type"": ""government""}, {""name"": ""Advanced Research Projects Agency - Energy"", ""ror"": ""https://ror.org/03q1rgc19"", ""country_code"": ""US"", ""type"": ""government""}], ""raw_affiliation_strings"": [""Advanced Research Projects Agency ‐ Energy ARPA‐E  Washington D.C. USA"", ""Department of Materials Science and Engineering Northwestern University Evanston IL USA""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7140595243,True,core,core,manual_core_venue,"[""AI and Machine Learning for AM""]","[""Self-driving Labs"", ""Manufacturing automation""]",7,fallback,False,True,False,False,2026-06-24,2026-06-28
10.54254/2755-2721/2026.bj31476,The Application of Additive Manufacturing Technology in Automotive Component Design Optimization,"[""Yuntao Zhu""]",2026,Applied and Computational Engineering,10.54254/2755-2721/2026.bj31476,https://doi.org/10.54254/2755-2721/2026.bj31476,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2755-2721"", ""2755-273X""]",,EWA Publishing,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Yuntao Zhu"", ""openalex_author_id"": ""https://openalex.org/A5123848858"", ""orcid"": null, ""position"": ""first"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Changzhou Institute of Technology"", ""ror"": ""https://ror.org/020mrfq61"", ""country_code"": ""CN"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Changzhou Institute of Technology""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7125753715,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""Multi-material AM""]","[""Additive Manufacturing"", ""Automotive Design"", ""Component Optimization"", ""Lightweight Structures""]",7,openai,True,True,False,False,2026-06-12,2026-06-28
